Datetime,valueBVP
53:12.8,6.666992
53:12.8,38.00732
53:12.8,75.87378
53:12.8,115.493
53:12.9,149.7461
53:12.9,171.5591
53:12.9,176.5278
53:12.9,164.6936
53:12.9,140.6372
53:12.9,111.8462
53:13.0,86.17664
53:13.0,69.2146
53:13.0,62.61072
53:13.0,63.89697
53:13.0,67.10205
53:13.1,57.45325
53:13.1,37.04602
53:13.1,8.660522
53:13.1,-21.38477
53:13.1,-45.4281
53:13.1,-57.43152
53:13.1,-55.19873
53:13.2,-41.0929
53:13.2,-20.84766
53:13.2,-1.17749
53:13.2,12.52222
53:13.2,17.49841
53:13.2,13.51172
53:13.3,1.898438
53:13.3,-15.53223
53:13.3,-37.08972
53:13.3,-61.32996
53:13.3,-87.01331
53:13.3,-113.007
53:13.3,-138.52
53:13.4,-163.0994
53:13.4,-186.4894
53:13.4,-208.0874
53:13.4,-226.7028
53:13.4,-240.6343
53:13.4,-248.3538
53:13.5,-249.4034
53:13.5,-244.9749
53:13.5,-237.7736
53:13.5,-230.718
53:13.5,-225.4344
53:13.5,-221.1093
53:13.6,-214.8374
53:13.6,-202.7061
53:13.6,-181.7804
53:13.6,-151.4611
53:13.6,-113.5164
53:13.6,-71.43884
53:13.6,-29.13574
53:13.7,9.639771
53:13.7,41.43274
53:13.7,63.15942
53:13.7,72.89368
53:13.7,70.89441
53:13.7,60.09607
53:13.8,45.4873
53:13.8,32.14148
53:13.8,23.14941
53:13.8,18.65942
53:13.8,16.6604
53:13.8,15.04517
53:13.8,13.3374
53:13.9,12.94092
53:13.9,15.85974
53:13.9,22.99866
53:13.9,33.22607
53:13.9,44.14648
53:13.9,53.6875
53:14.0,61.44324
53:14.0,68.77356
53:14.0,77.49817
53:14.0,88.30493
53:14.0,100.0414
53:14.0,110.3735
53:14.1,116.8612
53:14.1,118.3962
53:14.1,115.5644
53:14.1,110.0771
53:14.1,103.9177
53:14.1,98.38202
53:14.1,93.75732
53:14.2,89.61194
53:14.2,85.41101
53:14.2,80.84015
53:14.2,76.0932
53:14.2,71.67261
53:14.2,68.04059
53:14.3,65.24536
53:14.3,62.86646
53:14.3,60.0835
53:14.3,56.01031
53:14.3,50.07556
53:14.3,42.2475
53:14.3,33.21234
53:14.4,24.2558
53:14.4,17.05634
53:14.4,13.27295
53:14.4,14.09601
53:14.4,19.89929
53:14.4,30.06305
53:14.5,43.14349
53:14.5,57.1991
53:14.5,70.40137
53:14.5,81.41016
53:14.5,89.61859
53:14.5,94.95746
53:14.6,97.66711
53:14.6,97.94958
53:14.6,95.78766
53:14.6,91.00092
53:14.6,83.37518
53:14.6,72.91754
53:14.6,59.97412
53:14.7,45.25537
53:14.7,29.76282
53:14.7,14.55078
53:14.7,0.5495605
53:14.7,-11.66437
53:14.7,-21.91364
53:14.8,-30.45697
53:14.8,-37.78632
53:14.8,-44.50677
53:14.8,-51.15417
53:14.8,-58.12463
53:14.8,-65.58148
53:14.8,-73.4613
53:14.9,-81.57391
53:14.9,-89.66754
53:14.9,-97.55023
53:14.9,-105.0453
53:14.9,-111.8172
53:14.9,-117.2104
53:15.0,-120.2388
53:15.0,-119.8641
53:15.0,-115.4628
53:15.0,-107.3499
53:15.0,-96.83228
53:15.0,-85.86505
53:15.1,-76.33331
53:15.1,-69.31897
53:15.1,-64.73077
53:15.1,-61.56512
53:15.1,-58.52771
53:15.1,-54.75385
53:15.1,-50.12866
53:15.2,-45.17902
53:15.2,-40.61713
53:15.2,-36.96133
53:15.2,-34.33716
53:15.2,-32.573
53:15.2,-31.43304
53:15.3,-30.80109
53:15.3,-30.57559
53:15.3,-30.54672
53:15.3,-30.17535
53:15.3,-28.67532
53:15.3,-25.22406
53:15.3,-19.34064
53:15.4,-11.20584
53:15.4,-1.680115
53:15.4,7.952423
53:15.4,16.40637
53:15.4,22.79648
53:15.4,26.7222
53:15.5,28.1037
53:15.5,26.88084
53:15.5,23.01515
53:15.5,16.64246
53:15.5,8.478104
53:15.5,0.01557922
53:15.6,-6.661865
53:15.6,-9.560944
53:15.6,-7.508224
53:15.6,-0.6073608
53:15.6,9.862053
53:15.6,22.05978
53:15.6,34.30976
53:15.7,45.6003
53:15.7,55.6609
53:15.7,64.62608
53:15.7,72.68143
53:15.7,79.81667
53:15.7,85.77619
53:15.8,90.18047
53:15.8,92.68246
53:15.8,93.04411
53:15.8,91.28337
53:15.8,87.71437
53:15.8,82.94813
53:15.8,77.72421
53:15.9,72.5676
53:15.9,67.4764
53:15.9,61.82588
53:15.9,54.66078
53:15.9,45.27617
53:15.9,33.72754
53:16.0,20.89728
53:16.0,8.044357
53:16.0,-3.844513
53:16.0,-14.54852
53:16.0,-24.59911
53:16.0,-34.92163
53:16.1,-46.41637
53:16.1,-59.79456
53:16.1,-75.45328
53:16.1,-93.30029
53:16.1,-112.291
53:16.1,-129.9045
53:16.1,-142.1487
53:16.2,-144.4419
53:16.2,-133.2943
53:16.2,-107.9769
53:16.2,-71.18811
53:16.2,-28.19516
53:16.2,15.17157
53:16.3,54.59283
53:16.3,88.26025
53:16.3,116.4776
53:16.3,140.3787
53:16.3,160.8004
53:16.3,178.0067
53:16.3,192.203
53:16.4,204.198
53:16.4,215.4416
53:16.4,227.3131
53:16.4,240.0558
53:16.4,252.1884
53:16.4,260.834
53:16.5,262.9662
53:16.5,256.9168
53:16.5,243.1847
53:16.5,224.2224
53:16.5,203.4297
53:16.5,183.9214
53:16.6,167.732
53:16.6,155.7224
53:16.6,147.926
53:16.6,143.9869
53:16.6,143.1781
53:16.6,144.1801
53:16.6,144.8855
53:16.7,142.7623
53:16.7,135.8037
53:16.7,123.7209
53:16.7,108.515
53:16.7,93.91861
53:16.7,83.97107
53:16.8,81.27084
53:16.8,86.05392
53:16.8,96.06464
53:16.8,107.645
53:16.8,117.2244
53:16.8,122.4936
53:16.8,122.6764
53:16.9,117.9829
53:16.9,108.8726
53:16.9,95.56827
53:16.9,78.19379
53:16.9,56.99475
53:16.9,32.58649
53:17.0,6.03363
53:17.0,-21.06033
53:17.0,-47.15862
53:17.0,-71.25107
53:17.0,-93.03606
53:17.0,-112.8091
53:17.1,-130.7074
53:17.1,-146.862
53:17.1,-161.4635
53:17.1,-174.7686
53:17.1,-186.5394
53:17.1,-196.6236
53:17.1,-205.4671
53:17.2,-214.1071
53:17.2,-223.9474
53:17.2,-235.0244
53:17.2,-246.788
53:17.2,-258.3781
53:17.2,-268.8171
53:17.3,-275.9206
53:17.3,-277.8394
53:17.3,-274.4191
53:17.3,-267.4996
53:17.3,-260.5143
53:17.3,-254.474
53:17.3,-248.7864
53:17.4,-241.2083
53:17.4,-228.1458
53:17.4,-204.0323
53:17.4,-165.3115
53:17.4,-113.7198
53:17.4,-56.80932
53:17.5,-5.953068
53:17.5,31.81943
53:17.5,53.84315
53:17.5,61.86695
53:17.5,61.14644
53:17.5,60.62034
53:17.6,68.25658
53:17.6,87.55908
53:17.6,117.3615
53:17.6,153.0332
53:17.6,193.6458
53:17.6,238.3037
53:17.6,284.2057
53:17.7,309.5453
53:17.7,295.35
53:17.7,240.193
53:17.7,161.5831
53:17.7,91.41238
53:17.7,31.72803
53:17.8,-19.40527
53:17.8,-63.85499
53:17.8,-104.1173
53:17.8,-139.1124
53:17.8,-164.056
53:17.8,-173.9041
53:17.8,-166.7749
53:17.9,-145.2354
53:17.9,-116.015
