,Timestamp,Engagement,Emotion,Valence,Arousal,Dominance
0,1700240316.969578,0.11521613613161485,Deseo,2,1,1
1,1700240327.587664,0.04825537338605601,Deseo,2,1,1
2,1700240338.2907786,0.0006274793054632521,Deseo,2,1,1
3,1700240348.9733622,0.47912544085934927,Deseo,2,1,1
4,1700240359.6881382,0.05149697777716744,Deseo,2,1,1
5,1700240370.3595393,0.07044320775002877,Deseo,2,1,1
6,1700240381.0599053,0.2643125080499247,Deseo,2,1,1
7,1700240391.720856,0.06159043378415885,Deseo,2,1,1
8,1700240402.3263383,0.2777326733837875,Alegría,2,2,1
9,1700240412.9771695,0.0424399951315213,Alegría,2,2,1
10,1700240423.6471107,-0.015306980191472253,Alegría,2,2,1
