,Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Acc_1,Acc_2,Acc_3
0,1714472370.5960903,52246.95679509125,88973.95747589559,17949.21075692305,16109.036339406532,36305.245614677144,62991.06037510162,-187500.02235174447,-187500.02235174447,0.0,0.0,0.0
1,1714472370.612069,52263.3853272659,88918.72631534652,17955.69276281509,16132.304505384507,36154.01371169254,62953.84472058353,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
2,1714472371.0923424,52245.213359023735,89019.04094446194,18089.53500861347,16160.870034798389,36436.67387207435,63090.83856235011,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
3,1714472371.0923538,52222.19106223477,89085.35857026084,18097.96161627312,16127.588287304437,36640.79000244022,63153.3563915916,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
4,1714472371.0923564,52241.078286299504,88994.16345288318,17967.36037342076,16105.571819015959,36369.216307308234,63016.58606726958,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
5,1714472371.0923584,52253.081173072,88922.34729794828,17943.287544642397,16130.47166233917,36148.62694127881,62943.160586733895,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
6,1714472371.0923607,52230.23769023868,88990.31895283687,18060.85772047731,16157.047886496532,36370.60211546446,63058.62969859001,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
7,1714472371.092363,52201.76156780262,89077.4237009792,18115.865363581823,16144.061522967999,36642.846362930104,63155.613917781586,-187500.02235174447,-187500.02235174447,-0.126,0.962,0.168
8,1714472371.0923655,52226.23672798118,89010.18965365764,17993.243693500008,16111.450327807705,36431.55532259409,63046.67151530642,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
9,1714472371.0923676,52275.701138460776,88928.0916962733,17939.823024251822,16132.125691428864,36151.175040146714,62942.02064776667,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
10,1714472371.09237,52287.63696999991,88990.14013888122,18046.776121470466,16166.100343000931,36310.69944032424,63032.23228838829,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
11,1714472371.0923722,52236.94321357527,89087.9737243621,18122.660293896235,16153.29279342804,36623.087420831616,63156.44093232643,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
12,1714472371.0923743,52200.71103581322,89025.90293000972,18006.319464006363,16098.732185212635,36486.74177965424,63067.525692883224,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
13,1714472371.0923767,52254.66814692833,88933.07613528683,17922.8804019547,16104.722452726657,36160.94275247368,62928.83311853804,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
14,1714472371.092379,52263.13945807689,88970.29178980492,18017.495336234017,16144.396799134827,36238.95034062271,62991.0156716127,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
15,1714472371.0923812,52197.71590205621,89059.22938099259,18128.203526521153,16152.510482372105,36583.94951629037,63141.59937400811,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
16,1714472371.0923834,52181.242666392645,89030.4179823897,18047.066694148387,16116.010083676587,36556.166297932425,63104.89780961249,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
17,1714472371.0923855,52240.251271754656,88935.73599287702,17941.45470159706,16117.060615665987,36211.07771528694,62958.29271773013,-187500.02235174447,-187500.02235174447,-0.106,0.982,0.092
18,1714472371.092388,52281.087908874506,88956.16548730916,18008.129955307242,16158.098418485932,36208.5966716524,62986.99235761075,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
19,1714472371.09239,52259.00438535266,89077.33429400138,18133.277372512504,16176.739773361656,36547.94085597287,63137.285487328234,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
20,1714472371.0923924,52234.015135051624,89094.70159944316,18082.42715387668,16139.993505477132,36610.16811253645,63141.912298430485,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
21,1714472371.0923944,52257.238597540694,88987.74850222451,17951.714152302047,16120.927467456755,36271.13685263835,62987.77466866669,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
22,1714472371.092404,52304.17726089684,88977.42199628615,17992.327271977338,16161.227662709674,36176.7901392925,62971.43554346986,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
23,1714472371.0924063,52307.708836520775,89096.71325644413,18130.706921900146,16188.452087456239,36491.25683203421,63123.76268193277,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
24,1714472371.0924084,52278.80803094006,89130.8443702274,18119.553401416946,16158.880729541866,36643.31574956367,63169.62846155506,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
25,1714472371.0924108,52297.91877244935,89024.04773521992,17983.006594539474,16138.942973487732,36333.72173711321,63024.386826084476,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
26,1714472371.0924127,52311.1957086558,88979.00897014249,17986.94050156361,16174.236377982663,36165.4354531092,62974.1624562934,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
27,1714472371.092415,52284.88770543191,89076.64138992327,18113.786651347476,16200.29851201755,36428.716651048264,63104.76369914576,-187500.02235174447,-187500.02235174447,-0.094,0.99,0.054
28,1714472371.0924172,52254.60109169497,89155.58775133941,18140.139358060285,16175.91275881681,36655.76567122527,63182.77128729478,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
29,1714472371.0924196,52263.76530692164,89050.33338669938,18001.491487204014,16144.262688668096,36385.309563316056,63046.67151530642,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
30,1714472371.0924218,52292.263781102156,88974.27040031797,17973.17182697914,16169.877787813877,36158.0817291834,62966.428752711865,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
31,1714472371.092424,52295.57183928155,89054.6249216348,18096.15112497224,16203.204238796741,36372.926696887815,63081.04849827868,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
32,1714472371.0924263,52265.93342613381,89143.87543724483,18154.377419278317,16184.696994387747,36659.34195033812,63190.08030773167,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
33,1714472371.0924284,52267.05101335657,89073.28862825497,18025.586667726835,16135.612563563893,36468.68157013435,63081.02614653423,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
34,1714472371.0924306,52315.66605754686,88989.78251096995,17967.673297843136,16152.890462027844,36172.856232268365,62967.38987772344,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
35,1714472371.0924327,52321.81278727207,89041.43739240617,18076.34747938484,16190.620206668402,36315.10273398194,63056.819207289125,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
36,1714472371.092435,52275.902304160874,89145.70828029017,18161.73114320411,16185.009918810121,36643.02517688575,63190.013252498306,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
37,1714472371.0924373,52287.100528132985,89113.58882350789,18052.29700235093,16141.155796188808,36542.732899514784,63116.00662660678,-187500.02235174447,-187500.02235174447,-0.08600000000000001,0.994,0.034
38,1714472371.0924397,52327.8030547861,88992.64353426022,17962.39828615168,16150.8117497935,36211.88237808733,62979.8174476406,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
39,1714472371.0924416,52320.38227562694,89013.18478741465,18052.67698200667,16198.577427694492,36263.872535690374,63031.56173605463,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
40,1714472371.092444,52294.83423171452,89121.8366172119,18161.574680992922,16205.037081842076,36601.048600798684,63175.462266857896,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
41,1714472371.092446,52285.06651938755,89123.7365154906,18089.19973244664,16166.927357545777,36588.330458203614,63139.185385606936,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
42,1714472371.0924485,52302.947914951794,89031.64732833473,17981.397268938694,16165.921529045288,36242.43721275774,62985.80771515462,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
43,1714472371.0924513,52312.335647623026,89027.08757246585,18041.232888845552,16206.557000465036,36212.24000599862,63000.91749440641,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
44,1714472371.0924537,52302.746749251695,89140.25445464307,18167.430838040214,16226.248887330163,36547.67263503941,63153.42344682496,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
45,1714472371.092456,52311.553336567085,89161.95799850917,18121.699168884657,16186.77570662209,36636.431412271435,63163.861711485595,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
46,1714472371.0924582,52319.33174363754,89046.39947967524,17983.006594539474,16163.284023199561,36294.89675699434,62999.68814846136,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
47,1714472371.0924604,52330.66407807638,89006.79218850043,18015.23781004403,16202.243113785162,36180.70169457218,62975.50356096072,-187500.02235174447,-187500.02235174447,-0.088,0.998,0.028
48,1714472371.0924628,52304.69135101931,89119.06500089944,18151.136416332294,16231.367436810428,36485.73595115375,63126.82487092315,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
49,1714472371.0924647,52284.91005717636,89189.74121686711,18149.147111075774,16201.550209707048,36661.89004920603,63180.87138901608,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
50,1714472371.0924685,52316.180147669336,89064.5267444285,18005.961836095077,16168.268462213096,36364.36597876144,63037.17202391291,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
51,1714472371.092471,52352.36762194248,88985.3568655678,17998.250484257995,16197.258674771629,36175.87371776983,62971.815523125595,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
52,1714472371.092473,52341.83995030403,89086.11852957231,18126.840070109378,16231.322733321516,36423.57574982354,63093.453716451375,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
53,1714472371.0924752,52287.927542677826,89161.91329502026,18167.810817695954,16213.128413334896,36674.2058604009,63185.72171756288,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
54,1714472371.0924776,52284.01598739815,89070.98639857607,18034.035627130943,16172.694107615247,36432.427040627845,63061.42366664692,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
55,1714472371.0924797,52337.3025461796,89016.13521768275,17999.055147058385,16194.911741603823,36178.01948523754,62968.4627614573,-187500.02235174447,-187500.02235174447,-0.094,1.002,0.024
