Subject,Time,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
1,0.0,4.83569823344847,5.933709368749966,5.763640640993684,0.8834989427362474,Admiration,0.5506917372043102,Medium Fear,Admiration,Medium Fear
1,10.0,5.016883192350209,6.286903947950172,5.557262821561961,0.9587960019514036,Admiration,0.5947923541674436,Medium Fear,Admiration,Medium Fear
1,20.0,5.31720235726622,6.413678075783123,5.331254820934463,0.9755969998191507,Admiration,0.5960747077150018,Medium Fear,Admiration,Medium Fear
1,30.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
1,40.0,5.016883192350209,6.286903947950172,5.557262821561961,0.9587960019514036,Admiration,0.5947923541674436,Medium Fear,Admiration,Medium Fear
1,50.0,5.248350194880869,4.170115582339278,5.948957071684364,0.6600181253748983,Sadness,0.1353849110282984,No Fear,Admiration,Medium Fear
1,60.0,5.134222602870977,4.341028571428572,6.059036020808106,0.6478868151848118,Sadness,0.1751297270740971,No Fear,Admiration,Low Fear
1,70.0,4.820622063835687,6.286903947950172,5.729931430579079,0.9317499206273228,Admiration,0.5920797697234829,Medium Fear,Admiration,Medium Fear
1,80.0,5.343799238498034,6.286903947950172,5.729931430579079,0.9236245153279481,Admiration,0.5258204373748191,Medium Fear,Admiration,Medium Fear
1,90.0,5.016883192350209,6.286903947950172,5.773227928485589,0.9285597840705209,Admiration,0.5611839741700072,Medium Fear,Admiration,Medium Fear
1,100.0,5.016883192350209,6.286903947950172,5.557262821561961,0.9587960019514036,Admiration,0.5947923541674436,Medium Fear,Admiration,Medium Fear
1,110.0,5.009747139523677,5.476561605818614,5.672558600323237,0.7890554811578663,Admiration,0.45397183467516844,Low Fear,Admiration,Medium Fear
1,120.0,5.343799238498034,6.286903947950172,5.677072630174402,0.9306221619063492,Admiration,0.5327771746464929,Medium Fear,Admiration,Medium Fear
1,130.0,4.8793520668465575,6.070594610700079,5.637698434518911,0.9275695741440104,Admiration,0.5821650479751119,Medium Fear,Admiration,Medium Fear
1,140.0,5.343799238498034,6.286903947950172,5.677072630174402,0.9306221619063492,Admiration,0.5327771746464929,Medium Fear,Admiration,Medium Fear
2,0.0,5.248350194880869,5.106108262108262,5.774501195672268,0.6527850797527789,Joy,0.27674106472372567,Low Fear,Admiration,Medium Fear
2,10.0,5.343799238498034,6.286903947950172,5.662930464370756,0.9324613407827429,Admiration,0.5346743330249399,Medium Fear,Admiration,Medium Fear
2,20.0,4.911012177604375,3.8694110368847334,5.857944911451762,0.8032145143199542,Sadness,0.2196497190313547,No Fear,Admiration,Medium Fear
2,30.0,5.343799238498034,6.286903947950172,5.653418119873148,0.9336895863355195,Admiration,0.5359587730999369,Medium Fear,Admiration,Medium Fear
2,40.0,5.009747139523677,5.8709943970681175,5.6055576341149145,0.9105129261816729,Admiration,0.5444381247015551,Medium Fear,Admiration,Medium Fear
2,50.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
2,60.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
2,70.0,5.147538109983513,6.286903947950172,5.662930464370756,0.9421994145727552,Admiration,0.5605364106391502,Medium Fear,Admiration,Medium Fear
2,80.0,5.009747139523677,6.121255246524039,5.68560813655319,0.9265620372805898,Admiration,0.5599061769613591,Medium Fear,Admiration,Medium Fear
2,90.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
2,100.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
2,110.0,4.911012177604375,6.378208783591026,5.708258698988656,0.9439824837297417,Admiration,0.5911007111096226,Medium Fear,Admiration,Medium Fear
2,120.0,5.343799238498034,6.286903947950172,5.653418119873148,0.9336895863355195,Admiration,0.5359587730999369,Medium Fear,Admiration,Medium Fear
2,130.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
2,140.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
3,0.0,5.248350194880869,5.259211818059251,5.3078889851459525,0.8794424072832122,Joy,0.3818863384900534,Low Fear,Admiration,Medium Fear
3,10.0,5.343799238498034,6.0084313417635595,5.896332798889102,0.862141660349798,Admiration,0.4693698279837629,Low Fear,Admiration,Medium Fear
3,20.0,5.343799238498034,6.286903947950172,5.653418119873148,0.9336895863355195,Admiration,0.5359587730999369,Medium Fear,Admiration,Medium Fear
3,30.0,5.343799238498034,6.286903947950172,5.557262821561961,0.9456331897244395,Admiration,0.5493058414721338,Medium Fear,Admiration,Medium Fear
3,40.0,5.147538109983513,6.286903947950172,5.677072630174402,0.9402337445443273,Admiration,0.5584545012080948,Medium Fear,Admiration,Medium Fear
3,50.0,5.343799238498034,6.0084313417635595,5.649880928140802,0.9040224809256159,Admiration,0.5021722443768109,Medium Fear,Admiration,Medium Fear
3,60.0,5.016883192350209,6.286903947950172,5.773227928485589,0.9285597840705209,Admiration,0.5611839741700072,Medium Fear,Admiration,Medium Fear
3,70.0,5.2856505547284724,5.813635204407999,5.5933751404930225,0.8886470564924538,Admiration,0.4885170375131317,Low Fear,Admiration,Medium Fear
