Subject,Time,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
2,55.0,4.5657999999999985,5.7335,5.716200000000002,0.8294183975863678,Admiration,0.5752272779773715,Medium Fear,Admiration,Medium Fear
2,60.0,4.9708,4.6171,5.284800000000001,0.8047489523557886,Sadness,0.21972975286570448,No Fear,Admiration,Medium Fear
2,65.0,4.375599999999999,5.1,5.180499999999999,0.781933655170915,Sadness,0.6584626355732782,Medium Fear,Admiration,Medium Fear
2,70.0,4.4378,5.2084,5.4712,0.6640314810584277,Sadness,0.5727858476047848,Medium Fear,Admiration,Medium Fear
2,75.0,4.4653,5.5352999999999986,5.783500000000001,0.7457343546510918,Admiration,0.5485284529954207,Medium Fear,Admiration,Medium Fear
2,80.0,4.2162999999999995,5.443599999999999,5.3084000000000024,0.778673084742137,Hate,0.6881803646457328,Medium Fear,Admiration,Medium Fear
2,85.0,4.8576,5.691799999999998,5.843200000000003,0.8144738770958204,Admiration,0.49849627770875704,Low Fear,Admiration,Medium Fear
2,90.0,4.701400000000001,5.7522,6.187299999999999,0.7617461570180777,Admiration,0.4825330487186131,Low Fear,Admiration,Low Fear
2,95.0,4.632099999999999,4.273999999999998,4.791900000000001,0.9603760449736576,Sadness,0.46712747306695185,Low Fear,Admiration,Medium Fear
2,100.0,4.2006999999999985,4.695999999999996,5.1232,0.9514826541593491,Sadness,0.5799874607300862,Medium Fear,Admiration,Medium Fear
2,105.0,4.6162,5.780599999999998,5.292700000000001,0.9252673433306309,Admiration,0.6847496240254227,Medium Fear,Admiration,Medium Fear
2,110.0,5.0387,4.384200000000001,5.0253000000000005,0.8304042876771411,Sadness,0.28076711803240506,Low Fear,Admiration,Medium Fear
2,115.0,4.9286,5.316599999999999,5.595300000000001,0.7334727987614298,Admiration,0.44351595583968695,Low Fear,Admiration,Medium Fear
2,120.0,4.5687999999999995,5.385299999999998,5.338000000000002,0.7876226934689521,Admiration,0.6353282255633332,Medium Fear,Admiration,Medium Fear
2,125.0,4.551799999999999,5.0046,4.857800000000002,0.865264263507491,Hate,0.7607262258486928,High Fear,Admiration,Medium Fear
2,130.0,4.446300000000001,5.267300000000001,5.548000000000001,0.6622729817332572,Admiration,0.5612938108183291,Medium Fear,Admiration,Medium Fear
2,135.0,4.742099999999997,5.352699999999998,4.449200000000001,0.9768701486938572,Hate,0.9028024942327606,High Fear,Admiration,Medium Fear
2,140.0,4.844299999999999,5.456399999999999,5.647300000000004,0.7827123962727123,Admiration,0.49198493093263573,Low Fear,Admiration,Medium Fear
3,0.0,4.219799999999999,5.4233,5.6552999999999995,0.6918302705245132,Admiration,0.5926130517016673,Medium Fear,Admiration,Medium Fear
3,5.0,4.5363999999999995,5.3976,4.982,0.9153821844138001,Hate,0.8120963189133418,High Fear,Admiration,Medium Fear
3,10.0,4.460399999999998,5.196399999999999,4.8824999999999985,0.9203582625682071,Hate,0.8178658912516862,High Fear,Admiration,Medium Fear
3,15.0,4.9437,5.460699999999999,5.2957,0.9185742552358188,Admiration,0.5745823910754717,Medium Fear,Admiration,Medium Fear
3,20.0,4.105800000000001,5.605500000000001,5.549800000000001,0.7498311547042473,Admiration,0.6494904821688894,Medium Fear,Admiration,Medium Fear
3,25.0,4.350499999999999,5.1355,4.7249,0.9260665523982612,Hate,0.8246913398287435,High Fear,Admiration,Medium Fear
3,30.0,4.3805000000000005,5.229799999999999,5.6811,0.645193458516322,Sadness,0.5326315789282605,Medium Fear,Admiration,Medium Fear
3,35.0,4.5178,5.438299999999998,5.735999999999999,0.7229364347611458,Admiration,0.5345604239486615,Medium Fear,Admiration,Medium Fear
3,40.0,4.4439,5.5691999999999995,5.645200000000001,0.7778048131360566,Admiration,0.5872113947238664,Medium Fear,Admiration,Medium Fear
3,45.0,5.130699999999999,5.470200000000001,5.8233,0.7456441648504014,Admiration,0.405729335275105,Low Fear,Admiration,Medium Fear
3,50.0,5.076599999999998,5.3334,5.0994,0.9679493345233786,Admiration,0.5821077887332509,Medium Fear,Admiration,Medium Fear
3,55.0,4.751099999999999,5.0094,5.4544,0.6634079080892148,Sadness,0.4298872317824792,Low Fear,Admiration,Medium Fear
3,60.0,4.7532,5.5423,5.9251,0.7464175820105005,Admiration,0.4772668432728869,Low Fear,Admiration,Medium Fear
3,65.0,4.9017,4.8671999999999995,5.359000000000001,0.7067486193898065,Sadness,0.3050515212689096,Low Fear,Admiration,Medium Fear
3,70.0,4.574899999999999,5.498100000000001,5.281999999999999,0.8493095187765742,Admiration,0.673779854489195,Medium Fear,Admiration,Medium Fear
3,75.0,4.337199999999999,4.9623,5.081,0.8703142552193349,Sadness,0.6556397953720128,Medium Fear,Admiration,Medium Fear
3,80.0,4.4604,5.812500000000001,5.5362,0.8649947913664251,Admiration,0.6391014312744633,Medium Fear,Admiration,Medium Fear
3,85.0,5.208799999999999,5.174900000000001,5.281200000000001,0.8465222567385462,Joy,0.3461623947297442,Low Fear,Admiration,Medium Fear
3,90.0,4.7949,5.657099999999998,5.181900000000001,0.9614511668850543,Admiration,0.6860018173534446,Medium Fear,Admiration,Medium Fear
3,95.0,4.4055,5.431099999999999,5.5203,0.7395015449377877,Admiration,0.6050789929116107,Medium Fear,Admiration,Medium Fear
3,100.0,4.7407,5.2806000000000015,5.7106,0.673897014133273,Admiration,0.4610198511516777,Low Fear,Admiration,Medium Fear
3,105.0,4.4209,5.3875,5.411899999999999,0.739366385496254,Admiration,0.6294831303821693,Medium Fear,Admiration,Medium Fear
3,110.0,4.5336,5.273900000000001,5.667599999999998,0.6593908074696436,Admiration,0.5155560035081695,Medium Fear,Admiration,Medium Fear
3,115.0,4.793099999999999,5.6167,5.349600000000001,0.9175491692454054,Admiration,0.6208408927357438,Medium Fear,Admiration,Medium Fear
3,120.0,4.625800000000001,5.399100000000001,5.252899999999999,0.8310854058949214,Admiration,0.6661155300319933,Medium Fear,Admiration,Medium Fear
3,125.0,4.4502999999999995,5.468999999999999,5.0796,0.8729169969622084,Hate,0.7679487932406305,High Fear,Admiration,Medium Fear
3,130.0,4.704200000000001,5.038900000000001,5.3488,0.697886151655933,Sadness,0.4943541715724095,Low Fear,Admiration,Medium Fear
3,135.0,4.7936,5.350000000000001,5.240400000000001,0.8706719450880249,Admiration,0.6262941556779793,Medium Fear,Admiration,Medium Fear
3,140.0,4.7547,5.4254999999999995,5.4316,0.8253876400266213,Admiration,0.5677431734024748,Medium Fear,Admiration,Medium Fear
3,145.0,4.785,5.196700000000001,5.654299999999997,0.6373110101643428,Admiration,0.4373503172886827,Low Fear,Admiration,Medium Fear
4,0.0,4.411199999999998,4.822,5.496,0.8430921070637476,Sadness,0.4801717852454304,Low Fear,Admiration,Medium Fear
4,5.0,4.9593,4.617299999999999,7.138000000000002,0.568908614714265,Sadness,0.2709326362875017,Low Fear,Admiration,Low Fear
4,10.0,4.5305,4.683099999999999,6.996199999999999,0.6339917704855101,Sadness,0.3285479550487897,Low Fear,Admiration,Low Fear
4,15.0,4.6793,4.678599999999999,6.9223,0.6149339523855853,Sadness,0.3099957263593105,Low Fear,Admiration,Low Fear
4,20.0,4.5669,4.6486,6.812200000000002,0.6462819940164759,Sadness,0.32334255439012594,Low Fear,Admiration,Low Fear
4,25.0,4.507200000000001,4.716099999999999,6.805499999999999,0.6450667428668861,Sadness,0.3381050248496678,Low Fear,Admiration,Low Fear
4,30.0,5.1117,4.704799999999999,7.1179,0.5302981217075731,Sadness,0.2616517366608533,Low Fear,Admiration,Low Fear
4,35.0,5.2285,5.043800000000001,7.0279,0.5559718989492666,Desire,0.28476052658659856,Low Fear,Admiration,Low Fear
4,40.0,4.555800000000001,4.9937999999999985,6.983099999999999,0.5783567439345743,Sadness,0.35534912320420214,Low Fear,Admiration,Low Fear
4,45.0,5.030200000000001,5.5678,7.084800000000002,0.6313774735456568,Admiration,0.3643508194235052,Low Fear,Admiration,Low Fear
4,50.0,4.3667,4.973,6.8866999999999985,0.6172924475058534,Sadness,0.3788729118821249,Low Fear,Admiration,Low Fear
4,55.0,5.236399999999999,4.838100000000001,7.133100000000001,0.5549190801387914,Desire,0.2623891085743937,Low Fear,Admiration,Low Fear
4,60.0,5.112699999999999,4.726,7.095199999999998,0.526950372428136,Sadness,0.26320525939909584,Low Fear,Admiration,Low Fear
4,65.0,5.0481,4.958799999999999,7.181599999999999,0.5110193766597287,Desire,0.29487667274109486,Low Fear,Admiration,Low Fear
4,70.0,4.938399999999999,4.7863,4.113800000000001,0.7319370237693273,Hate,0.6535409813989143,Medium Fear,Admiration,Medium Fear
4,75.0,4.945399999999999,4.826699999999999,7.1118999999999994,0.5380123365760561,Sadness,0.29215003369364456,Low Fear,Admiration,Low Fear
4,80.0,4.767000000000001,4.627000000000001,7.233099999999999,0.5941361237825046,Sadness,0.29437756320383035,Low Fear,Admiration,Low Fear
4,85.0,4.532999999999999,5.0689,4.922999999999997,0.8699167603179295,Hate,0.7650957556366292,High Fear,Admiration,Medium Fear
4,90.0,5.0283,4.709899999999999,7.175799999999998,0.5421641429804174,Sadness,0.2722563946469929,Low Fear,Admiration,Low Fear
4,95.0,4.813800000000001,5.090400000000001,7.0482,0.5219563279470721,Admiration,0.3344894836433712,Low Fear,Admiration,Low Fear
4,100.0,4.4575999999999985,4.9942,6.8481000000000005,0.6006292763138237,Sadness,0.3713916721493933,Low Fear,Admiration,Low Fear
4,105.0,5.518300000000002,5.180599999999999,6.9406,0.6285004171038002,Desire,0.2738318442011478,Low Fear,Admiration,Low Fear
4,110.0,5.525499999999998,4.7047,7.016599999999999,0.6248358992420956,Desire,0.2160735010451065,No Fear,Admiration,Low Fear
4,115.0,4.504699999999999,4.2063999999999995,7.197499999999999,0.6908005180184336,Sadness,0.29384044052870084,Low Fear,Admiration,Low Fear
4,120.0,4.8695,4.989299999999998,7.1071,0.5236465424507891,Sadness,0.3171077075419996,Low Fear,Admiration,Low Fear
4,125.0,4.468400000000001,5.2813,6.9828,0.5678809571938658,Admiration,0.39430442624893547,Low Fear,Admiration,Low Fear
4,130.0,5.278,5.2948,6.953100000000001,0.6015272145955629,Joy,0.3106283985240253,Low Fear,Admiration,Low Fear
4,135.0,4.958900000000001,4.945499999999997,7.1438999999999995,0.5157575377121149,Sadness,0.3027927625257496,Low Fear,Admiration,Low Fear
4,140.0,4.440000000000001,3.9687000000000006,7.407499999999999,0.710062974782332,Sadness,0.2868998044054206,Low Fear,Admiration,Low Fear
4,145.0,5.042499999999999,4.765399999999999,7.276599999999998,0.5296706491402572,Sadness,0.27723166853558423,Low Fear,Admiration,Low Fear
4,150.0,4.9547,4.6259999999999994,7.294199999999998,0.5637632876784406,Sadness,0.27420453988605,Low Fear,Admiration,Low Fear
