Datetime,valueTemp
2024-04-30 16:20:34.537650,31.61
2024-04-30 16:20:36.537740,31.61
2024-04-30 16:20:38.537830,31.61
2024-04-30 16:20:40.537930,31.61
2024-04-30 16:20:42.538020,31.61
2024-04-30 16:20:44.538110,31.61
2024-04-30 16:20:46.538200,31.61
2024-04-30 16:20:48.538300,31.61
2024-04-30 16:20:50.538390,31.61
2024-04-30 16:20:52.538480,31.61
2024-04-30 16:20:54.538570,31.61
2024-04-30 16:20:56.538670,31.61
2024-04-30 16:20:58.538760,31.61
2024-04-30 16:21:00.538850,31.61
2024-04-30 16:21:02.538940,31.61
2024-04-30 16:21:04.539040,31.61
2024-04-30 16:21:06.539130,31.61
2024-04-30 16:21:08.539220,31.61
2024-04-30 16:21:10.539310,31.61
2024-04-30 16:21:12.539410,31.61
2024-04-30 16:21:14.539500,31.61
2024-04-30 16:21:16.539590,31.61
2024-04-30 16:21:18.539680,31.61
2024-04-30 16:21:20.539780,31.61
2024-04-30 16:21:22.539870,31.61
2024-04-30 16:21:24.539960,31.61
2024-04-30 16:21:26.540050,31.61
2024-04-30 16:21:28.540150,31.61
2024-04-30 16:21:30.540240,31.61
2024-04-30 16:21:32.540330,31.61
2024-04-30 16:21:34.540430,31.61
2024-04-30 16:21:36.540520,31.61
2024-04-30 16:21:38.540610,31.61
2024-04-30 16:21:40.540700,31.61
2024-04-30 16:21:42.540800,31.61
2024-04-30 16:21:44.540890,31.61
2024-04-30 16:21:46.540980,31.61
2024-04-30 16:21:48.541070,31.61
2024-04-30 16:21:50.541170,31.61
2024-04-30 16:21:52.541260,31.61
2024-04-30 16:21:54.541350,31.61
2024-04-30 16:21:56.541440,31.61
2024-04-30 16:21:58.541540,31.61
2024-04-30 16:22:00.541630,31.61
2024-04-30 16:22:02.541720,31.61
2024-04-30 16:22:04.541810,31.61
2024-04-30 16:22:06.541910,31.61
2024-04-30 16:22:08.542000,31.61
2024-04-30 16:22:10.542090,31.61
2024-04-30 16:22:12.542180,31.61
2024-04-30 16:22:14.542280,31.61
2024-04-30 16:22:16.542370,31.61
2024-04-30 16:22:18.542460,31.61
2024-04-30 16:22:20.542550,31.61
2024-04-30 16:22:22.542650,31.61
2024-04-30 16:22:24.542740,31.61
2024-04-30 16:22:26.542830,31.61
2024-04-30 16:22:28.542930,31.61
2024-04-30 16:22:30.543020,31.61
2024-04-30 16:22:32.543110,31.61
2024-04-30 16:22:34.543200,31.61
2024-04-30 16:22:36.543300,31.61
2024-04-30 16:22:38.543390,31.61
2024-04-30 16:22:40.543480,31.61
2024-04-30 16:22:42.543570,31.61
2024-04-30 16:22:44.543670,31.61
2024-04-30 16:22:46.543760,31.61
2024-04-30 16:22:48.543850,31.61
2024-04-30 16:22:50.543940,31.61
2024-04-30 16:22:52.544040,31.61
2024-04-30 16:22:54.544130,31.61
2024-04-30 16:22:56.544220,31.61
2024-04-30 16:22:58.544310,31.61
2024-04-30 16:23:00.544410,31.61
2024-04-30 16:23:02.544500,31.61
2024-04-30 16:23:04.544590,31.61
2024-04-30 16:23:06.544680,31.61
2024-04-30 16:23:08.544780,31.61
2024-04-30 16:23:10.544870,31.61
2024-04-30 16:23:12.544960,31.61
2024-04-30 16:23:14.545050,31.61
2024-04-30 16:23:16.545150,31.61
2024-04-30 16:23:18.545240,31.61
2024-04-30 16:23:20.545330,31.61
2024-04-30 16:23:22.545430,31.61
2024-04-30 16:23:24.545520,31.61
2024-04-30 16:23:26.545610,31.61
2024-04-30 16:23:28.545700,31.61
2024-04-30 16:23:30.545800,31.61
2024-04-30 16:23:32.545890,31.61
2024-04-30 16:23:34.545980,31.61
2024-04-30 16:23:36.546070,31.61
2024-04-30 16:23:38.546170,31.61
2024-04-30 16:23:40.546260,31.61
2024-04-30 16:23:42.546350,31.61
2024-04-30 16:23:44.546440,31.61
2024-04-30 16:23:46.546540,31.61
2024-04-30 16:23:48.546630,31.61
2024-04-30 16:23:50.546720,31.61
2024-04-30 16:23:52.546810,31.61
2024-04-30 16:23:54.546910,31.61
2024-04-30 16:23:56.547000,31.61
2024-04-30 16:23:58.547090,31.61
2024-04-30 16:24:00.547180,31.61
2024-04-30 16:24:02.547280,31.61
