Subject,Time,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,P7_Delta,P7_Theta,P7_Alpha,P7_Beta,P7_Gamma,P8_Delta,P8_Theta,P8_Alpha,P8_Beta,P8_Gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,Fp1_Engagement,Fp2_Engagement,C3_Engagement,C4_Engagement,P7_Engagement,P8_Engagement,O1_Engagement,O2_Engagement,Fp1_Fatigue,Fp2_Fatigue,C3_Fatigue,C4_Fatigue,P7_Fatigue,P8_Fatigue,O1_Fatigue,O2_Fatigue,Fp1_Excitement,Fp2_Excitement,C3_Excitement,C4_Excitement,P7_Excitement,P8_Excitement,O1_Excitement,O2_Excitement,Fp1_Relaxation,Fp2_Relaxation,C3_Relaxation,C4_Relaxation,P7_Relaxation,P8_Relaxation,O1_Relaxation,O2_Relaxation
1,0.0,-0.40492300297239764,-0.40155300907842606,-0.35505785266744294,-0.44099049297546994,-0.44218889740238304,-0.1206629134900555,-0.3576272381659973,-0.4230853865454602,-0.2792791519695405,-0.24572398366238415,-0.007467098844171906,-0.2989088957744877,-0.4271535474863386,0.5042461104203472,-0.32082827807003517,-0.28367578183260644,-0.19003011154530697,0.023138830885829197,-0.47229816911815353,-0.25539664032333476,-0.5256870133027911,-0.2400058203062284,-0.24506460361443932,-0.4250986306977059,-0.16522736774089528,-0.09830846224242493,2.1194800977960493,-0.019730624779474275,-0.4935673643204211,1.835430228693304,-0.2922071254333085,-0.17077837241668345,-0.5563091749785053,-0.5066828155252884,-0.5524691776386474,-0.546618456439431,-0.5992499978420999,-0.2506078880644913,-0.29601157038604564,-0.5813365268636803,-2.1656011582266967,-0.4295714652683853,5.96415715767242,-1.616490756722934,-1.7604894986114323,-1.262116041146174,1.107875423750972,0.949970209928655,1.0267620002893851,-0.8239874914960407,-1.3455560305576435,2.211309486556963,0.0093867749962092,-4.915237399593123,-0.5702089998175915,4.553184436942796,-3.9446534679162464,0.2646332499217952,8.745553589447915,-0.8043402113807996,-1.112230664371013,-1.18922638753616,1.7247276636578133,-0.44815824911469077,0.3938295485743687,-0.8940798650056393,-2.880617593212726,0.5753151127662626,5.889395631432101,6.50729214604987,-0.17537432584838997,-0.9659818475052102
1,10.0,-0.5435744865118078,-0.5495140803392703,-0.5612299119746019,-0.55928389693902,-0.44936118631375216,-0.20888559066816775,-0.4197189079926895,-0.5663361730499984,-0.5649156464937259,-0.5422592090821494,-0.519189201963788,-0.4971036493556918,-0.434240701350358,0.08988533869683059,-0.38432939273936634,-0.5293800777772413,-0.5051626115241061,-0.5006933010291666,-0.5517965248666554,-0.5559279442577918,-0.5581811000747137,-0.23893232482221136,-0.3414080537155918,-0.48563976741368714,-0.6134543926346229,-0.5979136249434068,-0.5026061259179697,-0.3261907205406353,-0.5036593532929345,0.8242525775305066,-0.3579112659935415,-0.5447605811077926,-0.6595722879626801,-0.6450432694706639,-0.6366424613976721,-0.634213632029249,-0.6247531187024923,-0.2689356248461676,-0.3919912022778023,-0.6297691557137313,0.5377337097412686,-0.001756756675562284,9.384774365545294,-0.54323654495054,-1.9267592621473126,-1.217492829323929,0.06080924473310572,-1.1391936098547502,-0.24948169346409474,0.023837406657654457,-1.3318161903038945,0.08293113500141137,-1.2862531185278114,2.704975310599193,-0.6656737097352088,17.440497884631093,1.0433711594594828,-0.08766626030365278,12.802615188828335,-0.3761415646237172,0.7273948243865249,-1.2051239120595854,-0.10160030501534224,-1.3131231642642085,-0.6735464529107821,-1.1992282736910727,1.1625473832468975,-0.07624181016925122,30.07017596960527,1.3132105260279443,-0.856868570375501,-1.0413454552053416
1,20.0,-0.591374809681024,-0.5926046422943909,-0.552819411787406,-0.6109866147633095,-0.4520657583616301,-0.38479102625171974,-0.42598843893244515,-0.611563544931788,-0.6383188707176496,-0.6028333787498462,-0.49966146262878675,-0.5826202940425185,-0.43732385169765753,-0.3503185329697429,-0.40321298058744526,-0.5956504841594703,-0.5672775274980966,-0.5656279283015538,-0.5891732153160136,-0.6065279245252009,-0.566320441170122,-0.36002519209197115,-0.34531482086221393,-0.5398528661278948,-0.7052436874447486,-0.6431935696597497,-0.5695533447332103,-0.564676590558035,-0.5062200549068661,0.1947584712761906,-0.48189147533638005,-0.6852750421048408,-0.7208730507125207,-0.7006423601818442,-0.6571768798366322,-0.683594111024998,-0.6323929570568168,-0.42388264692474803,-0.39889217721083847,-0.6784701132589077,-5.411921537749807,-0.7400458076300495,8.878602760833905,20.65259147844645,-2.092988956164214,-1.204811519601426,-1.667623591698256,-1.0515720601098875,35.92995932613403,-0.9241633003605627,-1.2877672826945126,1.1500601265261625,-1.1540356050963985,0.3960869259816194,-0.8872202514723451,13.189252646625125,-9.808220047838677,-0.1596798656917548,10.493230519277363,6.579507987451094,-0.9530669108907054,-1.1847564737333833,1.255755774902096,-1.2784098883904513,2.5469165700045036,-1.1711552882831346,-3.8826244787833573,-0.9132325457486494,11.439554924218362,1.5870568320136056,2.9285239570721497,-0.8624851937771643
1,30.0,-0.5754751410466488,-0.5737726713027858,-0.587462940649667,-0.591381667435961,-0.4490161814022397,-0.38308055936038937,-0.419082225683379,-0.586480797236415,-0.6227196220877543,-0.5984583350802004,-0.5819117678422502,-0.5827881972746457,-0.43808008366899304,-0.4181195225071317,-0.39758662269721284,-0.5883208675048764,-0.5531741564877104,-0.5449901648830792,-0.5791122854777315,-0.5893367674144765,-0.5514727966767845,-0.3328108842467145,-0.3424763556888422,-0.5183159738706957,-0.6942257625766702,-0.7260620389401178,-0.7437292561404025,-0.6790584080781602,-0.5101372564517204,-0.4817985735245424,-0.443828743657645,-0.7460441816662913,-0.6960821310310528,-0.6685422100639478,-0.6496748484466588,-0.6533465459024483,-0.6160257520288857,-0.38590034490125164,-0.39420659943160447,-0.6454186291268597,-0.053586453365050496,-1.0301749440799004,7.63093654382394,0.5738612384196756,-1.7420113094737268,-1.2058752909082144,1.1264637495253964,-0.9399106393199695,-0.2175769190983821,-0.6767636086362665,-1.348253550826595,1.757114420876965,-1.167834613802499,3.578619315845334,-0.7116661868300219,2.4136411536830717,0.07986136961301031,-1.0226681151705546,11.242439653473244,-0.10731638429102534,-0.2105163670457058,-1.197807700713243,2.3986401767641317,-1.2146161464144736,2.313916361691465,-0.9990166404919215,0.27518070301949826,-0.44478787706055356,3.774278596149389,1.4979516904082448,-0.5749091172617008,-0.6930749953005385
1,40.0,-0.5934957052554085,-0.5964586557326251,-0.611739984406874,-0.6149359056065803,-0.45312482942566773,-0.4375849872545387,-0.4235364752179464,-0.6162385311620258,-0.6415798145715936,-0.6172033652827459,-0.6043159193111175,-0.5986486300053503,-0.4391769141624361,-0.5529384633676045,-0.40476007300504324,-0.613945222637769,-0.5660310219515813,-0.564887573918093,-0.6020550819510003,-0.605162967122677,-0.5668465479771206,-0.36008904895079474,-0.3454489617680245,-0.5395283988170905,-0.7189230955503499,-0.7547111832302933,-0.8028434623331707,-0.7653876712875481,-0.5139567728285811,-0.7683740304429477,-0.4795493723418292,-0.8418356630267615,-0.7206884773567385,-0.7014290219309016,-0.6842936466904975,-0.6824384453070445,-0.6333440403071392,-0.436242145771336,-0.39885276961483274,-0.6798616191196528,2.662396924910747,-1.1454456633989303,3.2793761919887503,0.10004042686428294,-2.0441605433787546,-1.2461798109582563,-1.3919301327110938,-0.6208409473520436,0.4092716050662528,-1.4624859260226937,-1.4136930214238497,-0.3758148410615982,-1.1919564048167453,4.345316844012739,-0.8646913763661338,16.485827567333992,3.635161480840116,0.9223810106385928,8.432879725762856,-0.09000470740690837,-0.758093903039627,-1.2320528611578094,-0.7449101717982396,-1.1133541223116212,-0.5117778428174685,-0.4819198344198135,3.4868355489324387,-0.7477106013251485,23.748978337863864,1.4509398864497525,-0.3440530225526399,-1.1165172034055992
1,50.0,-0.5968579452098461,-0.5992343728342445,-0.6144230497396096,-0.6191651834330585,-0.4533339440578629,-0.4474151381947561,-0.4269309986146551,-0.6186309348656553,-0.6476595877992003,-0.6207725587021201,-0.6099027982825858,-0.6087366548012064,-0.4393457419959613,-0.5777393209602074,-0.4062479796911864,-0.6191416009888338,-0.5680371441870457,-0.5666395635967474,-0.6040015129386388,-0.6079918297397471,-0.5671796078771288,-0.3640979328785963,-0.3457015170075845,-0.5406800416404479,-0.7373259642062783,-0.7645506855119282,-0.8347284206127799,-0.8309230328337938,-0.5152510114003018,-0.8118360631212261,-0.49185280671145626,-0.8770565447206438,-0.7234984565632975,-0.7033699782223255,-0.6873493519441861,-0.6868149636600962,-0.6336637223869453,-0.44294312256628376,-0.3995556853760547,-0.6810760607038028,2.1380699478029563,-1.1478800856100257,1.7830857354579441,0.9538442133904482,-2.0284821360383525,-1.260799702148796,-1.8897061350576523,0.020147689836291376,2.2891766234860356,-1.4475187354683172,-1.4105161757829523,0.9548653690095872,-1.0735640851521717,3.8592680320416064,-0.894766180650654,12.354921405786666,1.3856895727670824,0.7442287410540004,4.773586806068206,0.07729761772329273,-0.9610480067463605,-1.2432526179918413,3.219236432990579,-0.8614689419724149,2.695242159467444,-0.008147029419157131,3.1292337176146585,-0.9065510587225317,19.450814579769066,0.8949691369514841,-0.19436160961040247,-1.0173400178190009
1,60.0,-0.5970791255646326,-0.5998901362496186,-0.6155701973601891,-0.6190505213196605,-0.45338778942872243,-0.4505509003515845,-0.4280156876433695,-0.6186265950459977,-0.6480170861077024,-0.6231666753013301,-0.6104074666795082,-0.607336516659408,-0.43940209219954196,-0.5875807317833603,-0.405719757064415,-0.6181104289506497,-0.5679576041768226,-0.5664509161816783,-0.6040779347055386,-0.5986282695862355,-0.5672242914738082,-0.3654761832885049,-0.34554843277868647,-0.5407108274305723,-0.7335637985674263,-0.7684971677712238,-0.8198303038808216,-0.8073263115778001,-0.5150291175625414,-0.8405290174425135,-0.48422457126108076,-0.8637112846123516,-0.7233511325136327,-0.7033490952522325,-0.6873766505485126,-0.6806805658210229,-0.6337438502577255,-0.445117049653338,-0.39907393817106,-0.6811695530131945,8.102558152156027,-0.9329190383810825,0.2284763825251239,0.02659742520086594,-1.444192120767482,-1.261476957285999,-2.016309179283839,11.080400154234134,1.7007227873564263,-1.2972889431764005,-1.426876842730658,1.6912270218943735,1.3073415067697536,3.702847473806815,-0.893928447195732,3.028203592785662,10.08930812296025,0.5429069990704242,1.7610973605175346,-0.2769033498206983,-1.0985040233935657,-1.2436221139038355,1.6438239135523993,3.9084887979352554,-0.580488288945793,2.4062428712723607,4.455742113850208,-0.9018927473835718,3.5074161455394197,1.974126298884212,-0.4786033565563161,-1.1964517100575798
1,70.0,-0.5975337678739852,-0.6000677686178264,-0.6148816799321518,-0.6185310250545515,-0.45339144714704227,-0.45057144541809935,-0.42822094235848357,-0.6184174417966689,-0.647553284474788,-0.6223067791294552,-0.6049995344525234,-0.5964907146180012,-0.43935175796718984,-0.5841438998651877,-0.40482029630222915,-0.611327272343935,-0.5681974176023094,-0.5666472945530213,-0.6042506605506568,-0.6080791220751048,-0.5671620760407073,-0.36557177489553166,-0.34526120143381284,-0.5410082691320075,-0.7358388737703228,-0.7639693222278597,-0.7641304079131384,-0.7220939044133781,-0.5147433193750134,-0.7887149852605461,-0.4779001612208404,-0.8212653687082799,-0.7238896772694953,-0.7038550270940476,-0.6876736655863593,-0.6868542133221988,-0.6336710193497047,-0.4452484291974064,-0.3990383265811118,-0.6815801922231403,7.912027539001515,-0.787625157175273,0.28633051464934944,0.3809527089986555,-1.9654578527226196,-1.272263969907301,-2.619043426690891,14.36058603298415,6.332693476893936,-1.2056123175132751,-1.4395139640584647,4.046618766731021,5.620531022908712,3.2650723380608864,-0.9024171665820941,0.8125870567752559,6.545851127786387,0.5545073870303308,2.5985787011249037,-0.263005962572769,-1.252201620862928,-1.2520313803941316,4.6845439757981895,6.5144608705618365,2.6279999284168714,2.0754464845015725,4.732878482265672,-0.9419181492875721,1.0621746664050353,4.025440107235053,-0.0710532353426315,-1.0170022614621719
1,80.0,-0.5132476808887051,-0.510122676701393,-0.5259098619723722,-0.5390944119839187,-0.4435091619365712,-0.2856898126688903,-0.33245872437052937,-0.5356684987014886,-0.47174723994417456,-0.41676929962923165,-0.4286918632510127,-0.4522438168537606,-0.4257480862159173,0.03587984068204971,-0.23985550576429662,-0.45205914616414977,-0.5172980393893745,-0.5119845030679292,-0.5569578212606332,-0.5606809014825263,-0.5570874077133118,-0.34093719205919304,-0.2819348135470668,-0.4947842980233204,-0.5530041813889602,-0.45215596678586933,-0.4960901268247744,-0.5445737405064097,-0.49380459390211606,0.5852509845485806,-0.17193503793975196,-0.6062781690090243,-0.6549574155288969,-0.6393327088907065,-0.635226466521516,-0.6370769747437687,-0.6224504495552985,-0.39313937487508477,-0.2938226477932221,-0.6257412368332195,-1.2726799250333378,-1.133595052153583,4.242196797363083,-0.37786673315986724,-1.6598025737188669,-1.1057970624699298,0.22449118406670282,7.228224475304418,-0.7152743679394967,-1.4207000294679395,-1.202591316111147,0.2016296282303778,3.0161127241814123,-0.5671052327043893,-0.6063610779383978,3.5833907363592896,-1.4151628219106078,0.5646846678797681,4.254768934451708,-0.3241699392485035,-1.1831451682116365,-1.0798879166251079,0.04834542097380835,2.206573620674786,0.8364238490118677,-0.25585380011864106,-0.8482880220114265,-0.5572075670595699,4.539759263025285,-0.40112293951604205,-2.1101400455533574,-0.9862723477433302
1,90.0,-0.5976193106443312,-0.60003873624293,-0.6144766673275619,-0.6179760857522535,-0.4533123953430662,-0.448485781012411,-0.42822478612509457,-0.6177913300175232,-0.6462313875438342,-0.617409067390888,-0.596252441437175,-0.5869526722311736,-0.43905886706510333,-0.5721469723505318,-0.40160684344016684,-0.6049331734873812,-0.568254932558084,-0.566704039321038,-0.6043033975426557,-0.6079103697540513,-0.5673101464759762,-0.3653425450121709,-0.3457549562627295,-0.5408713776903841,-0.7188306557973716,-0.7112911834756531,-0.665048260337644,-0.5917489064676511,-0.5114105934682235,-0.6907853012452906,-0.4452917087019281,-0.7234681444486692,-0.7237757751978579,-0.7037851805516752,-0.6874102188301525,-0.6861953010251928,-0.6337363898762053,-0.4447983162615157,-0.3998388968204634,-0.6812857373528891,8.157586624447347,-0.6090480527076224,0.8442370865517531,0.5045710793826839,-1.7201100091678956,-1.2465809295274664,-2.7378888121679794,1.593492103789589,7.95885818643106,-1.0815031930588301,-1.422228929518696,5.235477669590112,-0.4494510730576923,2.451594702303301,-0.9027883853594474,5.415781821455154,6.177956547914695,0.5532351006756541,3.1980354004571856,-0.2613420280164898,-1.0247616437023008,-1.2292302445321412,2.6910268822930807,-0.19913637647290142,4.480512818208982,-0.3096446208978144,3.0280254087808314,-0.9502409187136533,16.792218118486506,2.567493445755427,-0.29597915233347616,-1.1396049085813038
