,Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Acc_1,Acc_2,Acc_3
0,1714482416.9220147,12350.076419124178,26275.503787458398,31696.427666715106,17077.246853977067,2983.4214429165654,21304.54287583147,45444.00220441845,22069.106646669705,0.0,0.0,0.0
1,1714482417.4025958,12297.371005698564,26212.42716460552,32302.74108680977,17152.63928802482,3413.2454887921203,21301.0783554409,45827.178159615774,22157.328982034804,-0.01,0.982,-0.176
2,1714482417.4026356,12265.832694272125,26200.80425748876,32597.538244430812,17127.605334234875,3717.475082573305,21264.622660234294,46876.950189703726,22177.892586933685,-0.01,0.982,-0.176
3,1714482417.4026504,12308.14454652602,26232.923714271037,32016.102315914908,17047.51903385151,3319.4128655687414,21265.472026523596,46612.12672139725,22093.335937659256,-0.01,0.982,-0.176
4,1714482417.4026785,12330.29512528123,26251.967400546957,31649.958389992524,17052.95050775415,2978.2581899473894,21292.8752652258,45593.28950563545,22060.36711458768,-0.01,0.982,-0.176
5,1714482417.4026864,12282.529447380239,26228.56512410225,32159.55581182907,17142.62570650884,3312.2379555985876,21306.196904921166,45665.95502685965,22142.62153418321,-0.01,0.982,-0.176
6,1714482417.4026902,12248.621851041538,26191.125952139613,32618.370070263158,17143.944459431703,3721.6325070419916,21275.552663272938,46757.59187431239,22192.465924318545,-0.01,0.982,-0.176
7,1714482417.4026952,12282.752964824793,26219.892647253593,32135.862962706444,17056.169158955712,3414.899517881813,21263.50507301153,46769.05831921796,22114.100708258236,-0.01,0.982,-0.176
8,1714482417.4026988,12320.639171676537,26253.979057547935,31651.478308615486,17039.964144225614,2992.8762308211603,21289.857779724334,45746.77893481004,22057.997829675416,-0.01,0.98,-0.198
9,1714482417.4027026,12297.48276442084,26217.501010596876,32026.026490453067,17114.931895128717,3208.212936903589,21300.0278234515,45580.481956062555,22116.917028059608,-0.01,0.98,-0.198
10,1714482417.4027064,12255.841464500603,26180.03948688978,32605.182541034526,17148.660677511773,3692.821108439101,21279.55362553044,46664.921541800686,22189.42608707262,-0.01,0.98,-0.198
11,1714482417.40271,12277.14267696651,26208.001519203368,32258.506984532713,17073.558816141944,3501.937210790779,21264.846177678846,46952.96847259623,22131.266847999912,-0.01,0.98,-0.198
