,Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Acc_1,Acc_2,Acc_3
0,1714470348.4465575,44774.075719603985,77290.79005608441,9538.137559668727,-11586.563180275343,22643.881755337927,51536.39483885704,-187500.02235174447,-187500.02235174447,0.0,0.0,0.0
1,1714470348.9422984,44763.23512354316,77291.12533225123,9617.888583885264,-11580.908188928152,22772.672506889405,51570.68241485148,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
2,1714470348.942413,44714.150692719304,77356.50418478301,9643.10135163085,-11647.918718805162,22952.894622432545,51521.4638735609,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
3,1714470348.9424727,44699.10796870088,77339.78507993044,9557.471818622567,-11680.887541876738,22850.23306014932,51465.6962711449,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
4,1714470348.9425557,44757.222504284684,77261.50927084795,9529.912117709175,-11610.43484335361,22643.501775682187,51488.22682955585,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
5,1714470348.9425638,44777.60729522792,77270.7852447969,9611.719502415599,-11569.285281811392,22728.125480189978,51561.31703392471,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
6,1714470348.9425716,44723.00198352361,77345.01538813298,9640.217976596115,-11631.803111052885,22913.466145213384,51549.64942331904,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
7,1714470348.9425793,44683.88643072682,77341.52851599795,9551.839179019831,-11693.292760049435,22864.784045789725,51470.412489224975,-187500.02235174447,-187500.02235174447,-0.096,0.924,0.324
8,1714470348.9425871,44749.28763500305,77288.06314326086,9521.641972260712,-11620.716645803053,22672.983726618735,51494.28415230324,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
9,1714470348.9425952,44789.25255408914,77283.72690483653,9602.220011022093,-11572.369822546223,22720.078852186067,51565.273292693295,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
10,1714470348.942603,44735.8095330965,77354.26901033748,9651.796180223964,-11619.956686491572,22898.892807828524,51550.319975652696,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
11,1714470348.9426107,44685.786329005525,77369.15527214471,9598.420214464692,-11681.088707576837,22929.40293901002,51479.286131773726,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
12,1714470348.94262,44725.79595158052,77276.32847742182,9519.227983859539,-11645.348268192802,22697.816514708582,51476.693329416914,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
13,1714470348.942628,44780.356559795924,77256.12250043423,9575.621435120278,-11584.886799441196,22668.87100563896,51548.643594818546,-187500.02235174447,-187500.02235174447,-0.092,0.9460000000000001,0.264
