FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
-0.8851717547193292,-0.8158940857553753,-0.8184386558096669,-0.7787614558990399,-0.6589189991267224,-0.7051892345057268,-0.7869168481345367,-0.7276040178437355,-0.5928169052240806,-0.7455230749451845,-0.5804572297511561,-0.6731645836853496,-0.7450819663007078,-0.6137162046074915,-0.7296816189486878,-0.9029651253504416,-0.9789267118160518,-0.714266212317027,-0.5645647778788306,-0.47076317296319437,-0.4935810963893159,-0.6428792182518089,-0.5850180995639812,-0.6091276521377499,1,1
-0.8428950707698105,-0.7106974216205802,-0.7824771129480296,-0.7731862652636414,-0.6479952724309392,-0.7015807349152111,-0.7861907106147025,-0.7260437258332879,-0.5923661824123527,-0.7196959825010943,-0.5259848843897281,-0.6441979136246312,-0.7448667494030398,-0.6133195850481553,-0.7295353257557359,-0.8957577941345464,-0.9610726712913857,-0.7106918670700467,-0.5644269463260028,-0.47049153938962507,-0.4934410673039213,-0.6421947024703607,-0.5826164216261804,-0.6077781643756808,1,1
-0.8355277376727601,-0.752308721479923,-0.7082478925068066,-0.7722147064124426,-0.6523162313782412,-0.6941323305851499,-0.786064170487069,-0.7266609106009688,-0.5914358329254483,-0.7151952323194978,-0.547531813805387,-0.5844070046067142,-0.7448292446977247,-0.6134764707778441,-0.7292333579088488,-0.8945018108159044,-0.9681349659000815,-0.7033139616700594,-0.5644029271535866,-0.4705989860104338,-0.49315202937560115,-0.6420754155419408,-0.5835664226709601,-0.6049926491668711,1,1
-0.6699507850523618,-0.7473072829997551,-0.7940516352461878,-0.7503794300982202,-0.6517968770100011,-0.7027421605841271,-0.7832202473955355,-0.7265867285480919,-0.5925112513059401,-0.6140432293137453,-0.5449419970423419,-0.6535210778117679,-0.7439863460893379,-0.6134576140171061,-0.7295824114391952,-0.8662742435668171,-0.9672861187808331,-0.7118422998788317,-0.5638631088338852,-0.47058607154571674,-0.4934861368321539,-0.6393945043037724,-0.583452238019252,-0.6082125082594587,1,1
-0.16579702915788366,0.4182472767475307,0.23979833899810593,-0.6838947147402348,-0.5307645271306736,-0.5990022508959604,-0.7745609836189,-0.7092990561463847,-0.5795535267419851,-0.30605252514540576,0.058598914052898146,0.17923493633978493,-0.7414198626957782,-0.6090631615915355,-0.7253766626940091,-0.7803260857877733,-0.7694675043353778,-0.6090842854147568,-0.5622194535481037,-0.4675764347586749,-0.4894604734482022,-0.6312315839905771,-0.556842205329805,-0.5694164006111908,1,1
-0.8366936999345151,-0.8074278960780503,-0.7874413067460976,-0.7723684663878166,-0.65803986153286,-0.7020788584622603,-0.7860841968672359,-0.7274784461041646,-0.592428400971641,-0.7159075260073468,-0.5760733149968964,-0.648196523039684,-0.7448351802337537,-0.6136842848080692,-0.7295555203220243,-0.8947005841212017,-0.9774898250589303,-0.7111852758922306,-0.5644067284543053,-0.4707413119909337,-0.49346039716192946,-0.6420942940228,-0.5848248133877273,-0.6079644500087754,1,1
-0.4897334150155593,-0.7662573755059111,-0.7953747232771369,-0.7266134650342456,-0.6537646735470833,-0.7028749235925521,-0.7801248628505733,-0.7268677990380903,-0.5925278341861511,-0.5039473031165719,-0.5547546274343452,-0.6545868122437186,-0.7430689178603054,-0.6135290609341826,-0.7295877938215182,-0.8355507772168318,-0.9705023397735155,-0.7119738062892482,-0.5632755594416862,-0.4706350035283917,-0.49349128874700876,-0.6364765452219159,-0.5838848754936963,-0.6082621582734408,1,1
-0.8685064406365816,-0.7767896520704042,-0.7790569672718687,-0.7765637361554331,-0.6548583556673393,-0.7012375462394816,-0.7866306073818384,-0.7270240152747038,-0.5923233161292901,-0.735342129629353,-0.5602083916879976,-0.6414430198276253,-0.7449971285873283,-0.6135687704337581,-0.7295214124474764,-0.9001240217635406,-0.9722898840283252,-0.7103519266651411,-0.5645104451851612,-0.4706621994470509,-0.49342774974764225,-0.6426093846360493,-0.5841253311817913,-0.6076498204736343,1,1
-0.8814508560266777,-0.8056013879956855,-0.7462614328088262,-0.7782707665258789,-0.6578501951088974,-0.6979467343536869,-0.7868529385774045,-0.727451355074317,-0.5919122743794364,-0.7432499545030822,-0.5751275228476403,-0.6150265384794567,-0.74506302441127,-0.6136773983840871,-0.7293879987207734,-0.9023307863533072,-0.9771798290187548,-0.7070922622180081,-0.5645526469074107,-0.4707365956729625,-0.4933000486444511,-0.6428189719496314,-0.5847831135467609,-0.6064191398941426,1,1
-0.7927988018656464,-0.7721258823418643,-0.7943450207107928,-0.7665798755667508,-0.6543740651595961,-0.7027715998474251,-0.7853302651621105,-0.7269548415731814,-0.5925149284429874,-0.6890918563677474,-0.5577934246600137,-0.6537573969259421,-0.744611725532408,-0.6135511867745252,-0.7295836049446169,-0.887217379680477,-0.9714983462508121,-0.7118714605003589,-0.5642636211574019,-0.4706501568937238,-0.49348727923303576,-0.6413835772009917,-0.5840188556299654,-0.6082235178008337,1,1
-0.8883259812507444,-0.8100946527377827,-0.7998184976282764,-0.779177416011731,-0.6583167802085116,-0.7033208265391562,-0.7869710246218234,-0.7275179998214254,-0.5925835300854603,-0.7474500117956145,-0.5774541999418659,-0.6581662288985902,-0.7450980234458103,-0.6136943391939182,-0.7296058712978124,-0.9035028580488947,-0.9779424285883647,-0.7124154887774475,-0.5645750613708215,-0.470748197956827,-0.4935085921663999,-0.6429302893774818,-0.584885696408,-0.6084289147201077,1,1
-0.8605818843138902,-0.7849485314987288,-0.7834271076519433,-0.7755186941116263,-0.6557055818579403,-0.7016760605110379,-0.7864944964777565,-0.7271450289445851,-0.5923780891396511,-0.7305009682703207,-0.5644331767763626,-0.6449631250410157,-0.7449567872391467,-0.6135995315913496,-0.7295391903774252,-0.8987730430012313,-0.9736746139068583,-0.7107862904118877,-0.5644846093389834,-0.4706832668981309,-0.4934447664469208,-0.6424810755219679,-0.5843116013537722,-0.6078138137423361,1,1
-0.8609370159030155,-0.7378074757967836,-0.8003765608755223,-0.7755655266946259,-0.6508104075396848,-0.7033768244424411,-0.7865005961607792,-0.7264458260451322,-0.5925905245527691,-0.7307179203944006,-0.5400228602704241,-0.6586157433706954,-0.7449585950989818,-0.6134217972031641,-0.7296081415244993,-0.8988335858524906,-0.9656738058413111,-0.7124709566622098,-0.5644857671482961,-0.4705615416178906,-0.4935107651845712,-0.6424868255750594,-0.5832353539805765,-0.6084498565224519,1,1
