Fro_Theta,Fro_Alpha,Fro_Beta,Cen_Theta,Cen_Alpha,Cen_Beta,Par_Theta,Par_Alpha,Par_Beta,Occ_Theta,Occ_Alpha,Occ_Beta,Subject,Scene,Engagement,Fatigue,Excitement
-0.7066020382734268,-0.46815121424309986,-0.5975033302104484,-0.7441531407438162,-0.5917802397085455,-0.7108567346131252,-0.7367622176767168,-0.5263789907867121,-0.7727593644239815,-0.7328195866800508,-0.5892205197985945,-0.5821748939306106,1,1,0.6401690219028677,-0.7597673326672825,2.7093198332419743
-0.6244300448295758,-0.48158310727674464,-0.6056075091135666,-0.6842578041370442,-0.6040582050989619,-0.7172793182202971,-0.7253323018746959,-0.5281589494664861,-0.7738497155401429,-0.7307167091033944,-0.5896585741109948,-0.5823915371004722,1,1,-0.8873605328550911,-0.9380559211008568,2.8917548284160928
-0.7151744093757726,-0.4780976968058059,-0.6100360572236856,-0.7504015598361977,-0.6008722246101028,-0.720788954524669,-0.7379546127473138,-0.5276970721566532,-0.7744455405376607,-0.733038963699086,-0.5895449044232257,-0.582509922283219,1,1,0.3654156665030428,-0.7233479739408691,1.6993892824582826
-0.7028238454020247,-0.4779968940902546,-0.6031042098480672,-0.7413992081164944,-0.6007800818086682,-0.715295446810418,-0.7362366806343015,-0.5276837140493449,-0.7735129170586612,-0.7327228982983215,-0.5895416169443769,-0.5823246182065938,1,1,0.14518354832253913,-0.8288281551996695,2.8877019616622253
-0.6839186810995246,-0.48279098124841074,-0.6180296321949145,-0.7276191946100761,-0.60516231118311,-0.727123884217928,-0.7336070202458294,-0.5283190137072116,-0.7755210107976547,-0.7322390929964349,-0.5896979665034747,-0.5827236087579374,1,1,-0.9139883499178193,-0.8978143966375216,0.5688751055077753
-0.6971993197190192,-0.4886771632579353,-0.6110860793054429,-0.7372994796698665,-0.6105428140514353,-0.7216210998524148,-0.7354543233822889,-0.5290990348652359,-0.7745868124373203,-0.7325789600969659,-0.5898899325507311,-0.5825379917662519,1,1,-0.43575471946632294,-0.8898018636796562,2.771320947612474
-0.6219080677591323,-0.4900990879703087,-0.6174724057748673,-0.6824195298148704,-0.6118425818773463,-0.7266822807792993,-0.7249815012629319,-0.5292874645398498,-0.7754460405315342,-0.7306521687556675,-0.5899363057797766,-0.5827087128259231,1,1,-1.090515180760939,-0.9483308691819647,1.3268455514943445
-0.7127776068810057,-0.466151439800963,-0.6088859851907149,-0.7486545255221054,-0.5899522649526767,-0.7198775193411363,-0.7376212236014367,-0.5261139860054098,-0.7742908077337827,-0.7329776267153927,-0.5891553011569621,-0.5824791782369968,1,1,0.216733966017499,-0.6782713737943247,1.075235506986952
-0.6817804320551798,-0.4782583956150163,-0.6127440317677854,-0.7260606204427477,-0.6010191178598588,-0.722935031644079,-0.7333095952289093,-0.5277183675347228,-0.7748098764070911,-0.7321843726984331,-0.5895501452933098,-0.5825823126137077,1,1,-0.7450385371601976,-0.8899599895728729,1.2422258517997118
-0.6628355863492473,-0.4903157376266557,-0.6169374873986281,-0.7122516830789966,-0.612040619263122,-0.7262583565254626,-0.7306744152578989,-0.5293161743751134,-0.7753740716306049,-0.7316995519029457,-0.5899433713747754,-0.5826944132387558,1,1,-0.9827682702692703,-0.934088708699981,1.49669709838867
