Datetime,valueTemp
2023-11-17 16:53:07.332720,34.35
2023-11-17 16:53:09.332810,34.35
2023-11-17 16:53:11.332910,34.35
2023-11-17 16:53:13.333000,34.35
2023-11-17 16:53:15.333090,34.35
2023-11-17 16:53:17.333180,34.35
2023-11-17 16:53:19.333280,34.35
2023-11-17 16:53:21.333370,34.35
2023-11-17 16:53:23.333460,34.35
2023-11-17 16:53:25.333550,34.35
2023-11-17 16:53:27.333650,34.35
2023-11-17 16:53:29.333740,34.35
2023-11-17 16:53:30.583800,34.35
2023-11-17 16:53:31.333830,34.35
2023-11-17 16:53:33.333920,34.35
2023-11-17 16:53:35.334020,34.35
2023-11-17 16:53:37.334110,34.35
2023-11-17 16:53:38.584170,34.35
2023-11-17 16:53:39.334200,34.35
2023-11-17 16:53:41.334290,34.35
2023-11-17 16:53:43.334390,34.35
2023-11-17 16:53:45.334480,34.35
2023-11-17 16:53:47.334570,34.35
2023-11-17 16:53:49.334670,34.35
2023-11-17 16:53:51.334760,34.35
2023-11-17 16:53:53.334850,34.35
2023-11-17 16:53:55.334940,34.35
2023-11-17 16:53:57.335040,34.35
2023-11-17 16:53:59.335130,34.35
2023-11-17 16:54:01.335220,34.35
2023-11-17 16:54:03.335310,34.35
2023-11-17 16:54:05.335410,34.35
2023-11-17 16:54:07.335500,34.35
2023-11-17 16:54:09.335590,34.35
2023-11-17 16:54:11.335680,34.35
2023-11-17 16:54:13.335780,34.35
2023-11-17 16:54:15.335870,34.35
2023-11-17 16:54:17.335960,34.35
2023-11-17 16:54:19.336050,34.35
2023-11-17 16:54:21.336150,34.35
2023-11-17 16:54:23.336240,34.35
