,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,55.0,0.0003814026713371277,0.006865248084068298,True
1,sdnn,135.0,0.12562106549739838,1.0,False
2,rmssd,188.0,0.7450922578573227,1.0,False
3,pnn50,75.0,0.006158042935453577,0.08621260109635008,False
4,hr_mad,75.0,0.25517788476064585,1.0,False
5,lf,108.0,0.029833190143108368,0.3878314718604088,False
6,hf,140.0,0.156909741461277,1.0,False
7,lf/hf,144.0,0.18578492105007172,1.0,False
8,p_total,74.0,0.0024397894740104675,0.03659684211015701,True
9,lf_nu,137.0,0.13751810044050217,1.0,False
10,hf_nu,137.0,0.13751810044050217,1.0,False
11,mean_eda,194.0,0.8489041775465012,1.0,False
12,mean_tonic,194.0,0.8489041775465012,1.0,False
13,scr_peak_count,153.0,0.3869395000164386,1.0,False
14,scr_sum_amp,73.0,0.0022339224815368652,0.035742759704589844,True
15,scr_mean_amp,58.0,0.0005255788564682007,0.008934840559959412,True
16,scr_mean_risetime,127.0,0.08565542846918106,1.0,False
17,scr_mean_recoverytime,155.0,0.2842133492231369,1.0,False
