,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,46.0,0.0001353248953819275,0.0018945485353469849,True
1,sdnn,90.0,0.008859716355800629,0.10631659626960754,False
2,rmssd,0.0,7.450580596923828e-09,1.341104507446289e-07,True
3,pnn50,0.0,7.450580596923828e-09,1.341104507446289e-07,True
4,hr_mad,56.0,0.037593740713648925,0.41353114785013817,False
5,lf,189.0,0.7621389999985695,1.0,False
6,hf,83.0,0.0051764026284217834,0.06729323416948318,False
7,lf/hf,124.0,0.07353667169809341,0.6618300452828407,False
8,p_total,159.0,0.3272097110748291,1.0,False
9,lf_nu,135.0,0.12562106549739838,0.7537263929843903,False
10,hf_nu,135.0,0.12562106549739838,0.7537263929843903,False
11,mean_eda,180.0,0.6136380508542061,1.0,False
12,mean_tonic,180.0,0.6136380508542061,1.0,False
13,scr_peak_count,128.5,0.09456419944763184,0.7201932072639465,False
14,scr_sum_amp,21.0,3.330409526824951e-06,4.995614290237427e-05,True
15,scr_mean_amp,13.0,6.556510925292969e-07,1.049041748046875e-05,True
16,scr_mean_risetime,117.0,0.05049888789653778,0.5049888789653778,False
17,scr_mean_recoverytime,128.0,0.09002415090799332,0.7201932072639465,False
