,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,176.0,0.551873967051506,1.0,False
1,sdnn,197.0,0.9018996506929398,1.0,False
2,rmssd,133.0,0.11451615393161774,1.0,False
3,pnn50,116.0,0.04774715006351471,0.7162072509527206,False
4,hr_mad,130.5,0.8188992738550125,1.0,False
5,lf,174.0,0.5221440717577934,1.0,False
6,hf,149.0,0.22697687149047852,1.0,False
7,lf/hf,153.0,0.26417163759469986,1.0,False
8,p_total,195.0,0.8665077835321426,1.0,False
9,lf_nu,147.0,0.20980393886566162,1.0,False
10,hf_nu,147.0,0.20980393886566162,1.0,False
11,mean_eda,172.0,0.49323366582393646,1.0,False
12,mean_tonic,171.0,0.479096382856369,1.0,False
13,scr_peak_count,88.5,0.027100334160154085,0.43360534656246535,False
14,scr_sum_amp,57.0,0.0004729032516479492,0.008512258529663086,True
15,scr_mean_amp,65.0,0.0010645166039466858,0.01809678226709366,True
16,scr_mean_risetime,149.0,0.3365521878439186,1.0,False
17,scr_mean_recoverytime,136.0,0.13146880269050598,1.0,False
