Fro_Theta,Fro_Alpha,Fro_Beta,Cen_Theta,Cen_Alpha,Cen_Beta,Par_Theta,Par_Alpha,Par_Beta,Occ_Theta,Occ_Alpha,Occ_Beta,Subject,Scene,Engagement,Fatigue,Excitement
-0.8506614880574398,-0.7345606684824056,-0.7519251127721884,-0.7753136593072476,-0.6937400854479148,-0.6774297313877904,-0.8471493207812808,-0.761476305401867,-0.7356086556279827,-0.7380611666462742,-0.6033866847551673,-0.6123522380710618,1,1,-0.44721829468560137,-0.8255222698951835,2.119579241085928
-0.8306831702537805,-0.6921881961283111,-0.7380589627238555,-0.7617225028596012,-0.6633515728791672,-0.6657003701006008,-0.844405275077228,-0.7559133217701429,-0.7340200510415578,-0.737547582966119,-0.6021257214145861,-0.6116981058178489,1,1,-0.27325209533574707,-0.7585057243534303,1.4743274661564392
-0.748956422088869,-0.7069343893839146,-0.7425218986869079,-0.7061241771556005,-0.6739271861061868,-0.669475562791424,-0.8331800090457223,-0.7578493152855951,-0.7345313566682186,-0.7354466290969214,-0.6025645537053491,-0.611908643735532,1,1,-0.917167745335885,-0.9009614348987078,1.6079220069251592
-0.6637926969340325,-0.7145673526287922,-0.743032058588414,-0.6481876920311689,-0.679401362773656,-0.6699071064988071,-0.8214826701381727,-0.7588514293288326,-0.7345898042082005,-0.7332573206771332,-0.6027917032271269,-0.6119327104047017,1,1,-0.9880292072516856,-0.9168702672569875,2.3330412955396573
-0.8070096204990272,-0.716931145679753,-0.7426350230567345,-0.7456174973456332,-0.6810966179912056,-0.6695712545731652,-0.8411536848711563,-0.759161766236752,-0.7345443169991044,-0.7369390057613274,-0.6028620473967352,-0.6119139803501418,1,1,-0.7416287267105157,-0.885894893957522,2.8545276311526817
-0.8392090923459139,-0.7031079342259687,-0.7449606808091969,-0.7675226479045169,-0.6711829449939498,-0.6715385259436539,-0.8455763206136913,-0.7573469488616259,-0.7348107608612536,-0.7377667592995735,-0.6024506821417965,-0.6120236926884991,1,1,-0.38907177612747507,-0.7294060176893242,0.7347697513031184
-0.826925449351822,-0.7029972680435859,-0.7411433427034039,-0.7591661428513765,-0.6711035778839571,-0.6683094437801049,-0.8438891476435089,-0.7573324197551801,-0.7343734195082708,-0.7374509830346938,-0.6024473888244309,-0.6118436106925802,1,1,-0.4819085445470403,-0.8136865333504006,1.6049541504990223
-0.8293018819106839,-0.7111866669299107,-0.7401759497081045,-0.7607828188404266,-0.6769768167383622,-0.6674911270945805,-0.8442155534809879,-0.7584075869433878,-0.734262588099131,-0.7375120741130928,-0.602691097326752,-0.6117979741635111,1,1,-0.3726891311333688,-0.8306822009398794,2.7373639054328347
-0.8068799736938164,-0.720900866688501,-0.746307397483629,-0.7455292992285698,-0.6839436059073367,-0.6726777121179592,-0.8411358777283146,-0.7596829417020329,-0.7349650502839239,-0.7369356729239991,-0.6029801824119059,-0.612087223719796,1,1,-0.8433502743697598,-0.89318607604103,2.111606784481198
-0.8081227218383116,-0.7082604528784634,-0.7493627076695276,-0.7463747349966162,-0.674878206779096,-0.6752621956905396,-0.841306570663555,-0.758023411086594,-0.7353150883087067,-0.7369676203167588,-0.60260401605817,-0.6122313572340882,1,1,-0.928392450009274,-0.868807750744181,-0.09308963038012034
