,Fro_Theta,Fro_Alpha,Fro_Beta,Cen_Theta,Cen_Alpha,Cen_Beta,Par_Theta,Par_Alpha,Par_Beta,Occ_Theta,Occ_Alpha,Occ_Beta,Subject,Scene,Second,Engagement,Fatigue,Excitement
0,351.55712664558143,76.59533278649388,59.868131651480795,271.03841432345627,171.0020306519517,178.94345316985732,313.0703388887455,83.85836917237566,48.7174881156313,1148.9536677117367,163.2207565061998,77.0139410102175,001,000,2,0.15150500180375026,3.7121848845477614,0.7139195794330132
1,80.02291821353651,24.52007666005273,56.76723282550981,69.9874509672198,18.899127037831306,12.161479072036734,217.9171839539179,90.55230076410722,140.85932086733874,463.5723917506195,167.22150089290426,132.32189576600774,001,000,4,0.3428853289475977,0.8283078834823866,0.6268999500453444
2,815.2929245033009,208.78263775636503,253.52736778841737,134.96676950819997,77.68155024012226,79.84379179481991,767.6379296239148,211.79843403271437,241.7200410063902,997.9953317339562,348.3306434596336,327.81281751552024,001,000,6,0.36907399911552197,2.2433114256754227,1.197021918251093
3,1111.0574635508392,603.7739034195698,468.27301622844834,1263.2278767790417,517.3169032377562,352.6343797223676,1399.983482657737,874.950575020446,555.0946822750017,4457.509816542121,1413.5771276348028,1081.7692164531345,001,000,8,0.2270862471043833,1.356811120602097,0.5351993925114064
4,1137.7990906011046,508.95650668628525,771.2213808150289,628.0801794773731,276.6029082140686,345.5853287750259,938.9662032492556,343.2173906761319,467.85420134034143,3072.972233434123,1411.6759726655462,1942.806410686629,001,000,10,0.6289744010275348,2.5725375782965547,2.247034683457435
5,19.734172683026635,6.824360691005985,20.769597091529544,21.355007640314803,7.572424487319963,9.34624103196775,22.081767920335153,11.583151961689317,33.401813269524794,78.91888809846512,16.817606930906642,34.02502176885521,001,000,12,0.646469241809184,1.773661454984006,1.7930868178388684
6,459.4713686563838,146.45514109271608,249.0271612143818,98.85468404925757,31.528080445040906,50.75092937339545,245.01527978365203,82.09094781502826,222.74653618250414,4268.794633725045,1600.8549773715058,2132.8983772565252,001,000,14,0.6893409596060988,3.4006554167439487,3.0335520278740504
7,193.78757497336954,52.00906808043388,106.92138454850163,115.067088513469,35.9436556834843,67.03565331587559,249.67387486778784,73.69164923214824,159.2301806134297,2383.303842978081,846.6251452220465,1157.3895842036777,001,000,16,0.4687088469852202,2.095587944529946,1.4509294562219788
8,230.3795717253031,45.94110872383934,223.38944254557344,292.73054571938496,13.087340036316709,63.64794973548997,515.5548340431878,63.32675590939574,357.28201620896687,796.4736257633747,57.175194356412575,235.33218379731522,001,000,18,0.6876021755751087,4.130245659458095,3.5275680766781443
9,89.6734365201203,12.188175847716936,103.87447378667035,89.00361604476555,8.978404695924525,55.38138318351296,110.10366699139439,45.48058480363434,256.95040592318486,458.5908439951063,22.694153205515065,152.1933517020664,001,000,20,0.7704729170061813,1.9643222853920714,2.283930038172459
10,850.8912310659482,305.5899227516884,492.2432204722304,485.92423604335005,122.85796261058799,140.89291635288214,271.6274892923423,108.6150858404286,435.7883794809954,4711.744207912022,1308.5725724715046,1661.4179965178655,001,000,22,0.6334990532909293,6.1539124918304395,4.531996790900736
11,322.6576698595564,69.23712683860649,84.65727320571773,31.977407686932143,13.243338478574827,46.73524997981332,28.678097479585045,18.01674495560983,130.78246153899158,768.3250944186834,163.53539256955608,295.76341975876835,001,000,24,0.43339690089032973,9.841818775262917,4.698810657213539
12,237.39579499813402,212.57709246880225,301.7382075013728,170.96701425510494,154.83784374821784,199.946020494967,169.76048551511374,220.86704420071598,394.34447911412974,812.6367605293161,634.8846039527716,743.173500127435,001,000,26,0.709891327291835,0.9244539191689767,1.3661531469908388
13,36.021295502980294,19.568192647024368,139.6601176765584,32.92172058735124,14.335120624296888,94.6416370629035,98.02950074156858,41.79152826696553,296.1162950223689,211.77740400593,71.23661226318934,317.2411673250207,001,000,28,1.8312950077800985,0.8248443996821734,3.341828439113435
14,905.939807026615,140.66361409841636,355.4975378310603,391.19064474458173,23.28345838251979,32.59764270624585,1277.9993496154425,239.90601818590628,621.3934458237118,2499.7035078086064,119.32969330828868,205.98050105952757,001,000,30,0.40012272789151704,2.7034137400547276,1.4818200081816233
15,386.45342651528887,123.82219168672901,259.36689266812533,308.7209783390897,60.00513373106907,93.21729034561244,488.98820699337307,110.95420784792462,283.9121067553263,1813.3572257645983,391.9598718213499,500.7945283252135,001,000,32,0.5656346119590625,3.132708611678767,2.337603031906795
16,151.91783066236349,13.736591998778225,27.306184132988797,93.9544865922841,17.289224281503294,105.77180712209227,60.92594316262971,18.662591218366487,127.1026797261655,804.0725416238291,135.62235701660177,161.04733735423497,001,000,34,0.1928419859832533,6.587303830903083,1.4631507390096965
17,82.41126445753903,24.031384602344133,48.5160431653027,107.80115315832934,34.181912109633394,40.053691007126254,57.638787908315365,20.34812134539266,41.03977033781849,485.0814560356757,153.7927786554035,170.56637263722712,001,000,36,0.4202184803365272,4.673955260713476,2.384300857154461
18,101.84800024034621,55.796091354277735,79.08278669372855,78.30780251694968,16.635241813474444,50.27147985735202,63.133652349560364,44.03383275677151,68.09813807000268,264.81479102706345,53.90650607603054,26.72971942704011,001,000,38,0.5896783544225491,2.045652075671196,1.7959551041254118
19,77.95903306542087,107.68147167901134,76.73944372450467,49.590052720224634,88.12416460680294,52.72181192354526,74.32731591592707,95.66673130961834,57.30608872476323,32.01369658221278,24.48158537631196,12.935012692312117,001,000,40,0.4813022481686223,0.666632402087839,0.8021539219955482
20,1043.5643576099064,280.5298075008164,65.14346686646115,783.0327189667692,178.22143860794716,28.340532390963993,1253.485073869287,347.2482524301795,80.45315055525178,3439.623565889225,727.1102053162249,126.20321163580945,001,000,42,0.0516787376288738,2.630102619370195,0.18759912083231986
21,171.60361034255823,37.6832617799539,73.8706356355791,76.11950637920737,21.87278917092904,26.689077620196677,163.42930383449053,45.75393963568393,67.00799432240966,325.4315291140924,80.56303736576479,103.64609206156402,001,000,44,0.43551819561367183,2.707123350407229,1.6145196724866662
22,461.2615166148152,142.397747240111,489.0289007722881,424.0138975036548,136.35125721911527,336.772989505376,297.9810975652556,172.70622515316884,651.0131067878962,3551.0091141345556,1574.9107064967752,2284.0186665244796,001,000,46,0.7947245031149273,2.5629516635354093,2.8315649904256817
23,63.54133865219991,40.41443019071779,170.93927673747106,26.08836092525251,19.52514325853246,66.83905227334762,30.980310165588673,22.652749808258257,146.36502563892128,17.021004541073573,11.574564722209079,57.844515337733746,001,000,48,2.5336498965217578,1.9783403855186077,7.546071809575792
24,108.30241548929916,32.5094214793766,98.78611811653815,103.24888033666042,26.789892798774066,59.4061925071874,153.25405365087755,39.948495338418226,130.25026014717307,391.2921114326664,54.44185414319799,121.35344154217384,001,000,50,0.6778980882125752,2.6478005496055816,2.4728370187584043
25,304.5212216587992,69.50562643358597,95.82315637602329,52.95139973797548,35.997240390020934,48.70145440798481,648.5214491346323,171.73774741622714,251.43491626835493,543.6061118734211,226.3286580432274,214.41295951754023,001,000,52,0.27341012596340736,1.0407514561443405,0.5579621126844311
26,77.59341560375748,23.51037773178406,140.3706840768612,107.66265212956951,36.971205607636584,84.05431392638484,55.96463331005309,25.89587248123654,132.69010636052133,111.0425094878715,33.381644597789,79.44225348629752,001,000,54,1.1843238077627558,3.5769419985281163,5.420581375606096
27,61.399764421632526,19.98587445779645,47.16168483747464,27.741715384099244,8.897568069753948,20.41633507099062,85.70858019116281,22.36519625394423,49.30010459566629,133.2399754105596,21.871309372988257,33.06380894114476,001,000,56,0.7045794463379051,1.9928615602917223,2.1087087411163408
28,31.788017529075645,7.82427885762981,28.932567276631143,24.026267174279923,7.653630887827142,25.79863924032432,64.09122609753183,6.867353403033232,32.785923530400225,96.46083056986754,11.93065574227646,37.19907469240198,001,000,58,0.8320053720034618,4.063740529117304,4.213059322657249
29,36.649755634719455,19.311139102307877,60.24632204829422,23.692880634588118,4.835067216801696,11.45114090249444,46.362743590967334,21.433541121569753,100.65515843911612,110.65495609066997,21.49001247220609,70.40032536986516,001,000,60,1.1674544396907451,1.4076683812312623,2.8108431409714667
30,13.788483317747342,3.373249866056457,19.89233892920989,14.969241384226802,2.6969787089961503,10.501109739484932,19.947058993042106,7.427585125529171,20.904900231552634,50.02342076398813,2.9848271904698063,14.976452675995134,001,000,62,0.9122228162396607,1.9358731146097319,2.678170440731594
31,369.7667495865759,121.47258566253045,255.51420261079525,548.9800831612476,163.31821520093325,239.4693724113378,311.04619611077896,95.54802358630138,256.27349594284397,2796.475923748835,873.4681949278554,1257.432273607662,001,000,64,0.46045112733275395,4.807775180812548,2.6741966293003263
32,600.2076087197406,58.2814874703895,28.8004000140754,308.47587775399813,23.877801457851035,24.12396149129026,283.96177931730597,44.65197612029775,36.11115441276393,2351.3076292062556,200.0950974838742,97.24184681679915,001,000,66,0.05771695894525037,10.175176615091312,0.6449972098991472
33,426.67635571346966,72.0648486499459,175.64225676461334,201.0377563394899,97.35082084589618,220.40839411690052,839.7830048556136,152.0422526077442,385.1610311054119,723.4644597186377,141.98147514746154,202.28629388173147,001,000,68,0.3769961738717872,2.064275230361153,1.155220037536244
34,202.26156998279856,21.797904723616384,36.2985204961073,315.7251952567449,53.54370771384049,57.82411144135805,426.8417553794069,88.69383827272229,59.89199892939597,1007.8348626262441,76.91234477600557,49.61664341406321,001,000,70,0.10439992704630037,2.9200831496704427,0.4092563948410256
35,152.41012077099543,64.45535579448367,127.86114536938328,129.9415010861436,61.7906997632316,102.65870457747988,492.1689046093628,270.4362827408181,347.7599293250664,313.5101389341642,114.06233154469624,109.11974277903603,001,000,72,0.3106350550333516,0.5220298456175357,0.4727958248558068
36,10.328023450033367,10.925459826762182,31.60696076281473,10.885996314409201,4.5271936865843765,24.524243519327868,33.47144422920663,25.509753315724936,82.63250647550306,23.833875260017095,18.672392807014702,48.36782847443601,001,000,74,0.8751327074795024,0.41580213461659865,1.239014755322283
