Datetime,valueBVP
2024-04-29 16:28:11.074170,8.072392
2024-04-29 16:28:11.089790,7.465752
2024-04-29 16:28:11.105420,6.575558
2024-04-29 16:28:11.121040,5.446698
2024-04-29 16:28:11.136670,4.164376
2024-04-29 16:28:11.152290,2.839224
2024-04-29 16:28:11.167920,1.581678
2024-04-29 16:28:11.183550,0.4561142
2024-04-29 16:28:11.199170,-0.5423956
2024-04-29 16:28:11.214800,-1.492133
2024-04-29 16:28:11.230420,-2.529044
2024-04-29 16:28:11.246050,-3.760471
2024-04-29 16:28:11.261670,-5.23158
2024-04-29 16:28:11.277300,-6.876339
2024-04-29 16:28:11.292930,-8.553112
2024-04-29 16:28:11.308550,-10.09462
2024-04-29 16:28:11.324180,-11.39628
2024-04-29 16:28:11.339800,-12.44602
2024-04-29 16:28:11.355430,-13.3335
2024-04-29 16:28:11.371060,-14.23058
2024-04-29 16:28:11.386680,-15.29348
2024-04-29 16:28:11.402310,-16.56672
2024-04-29 16:28:11.417930,-17.88951
2024-04-29 16:28:11.433560,-18.91954
2024-04-29 16:28:11.449180,-19.18875
2024-04-29 16:28:11.464810,-18.27738
2024-04-29 16:28:11.480440,-15.94737
2024-04-29 16:28:11.496060,-12.2649
2024-04-29 16:28:11.511690,-7.584871
2024-04-29 16:28:11.527310,-2.416715
2024-04-29 16:28:11.542940,2.690477
2024-04-29 16:28:11.558560,7.300772
2024-04-29 16:28:11.574190,11.11119
2024-04-29 16:28:11.589820,13.9617
2024-04-29 16:28:11.605440,15.76614
2024-04-29 16:28:11.621070,16.49834
2024-04-29 16:28:11.636690,16.18063
2024-04-29 16:28:11.652320,14.92059
2024-04-29 16:28:11.667940,12.96555
2024-04-29 16:28:11.683570,10.6503
2024-04-29 16:28:11.699200,8.312195
2024-04-29 16:28:11.714820,6.240042
2024-04-29 16:28:11.730450,4.588972
2024-04-29 16:28:11.746070,3.367192
2024-04-29 16:28:11.761700,2.505917
2024-04-29 16:28:11.777320,1.920673
