Datetime,valueEDA
2024-04-30 10:19:36.454000,2.896697
2024-04-30 10:19:36.704000,2.891575
2024-04-30 10:19:36.954000,2.890295
2024-04-30 10:19:37.204000,2.886454
2024-04-30 10:19:37.454000,2.882612
2024-04-30 10:19:37.704000,2.882612
2024-04-30 10:19:37.954000,2.878771
2024-04-30 10:19:38.204000,2.877491
2024-04-30 10:19:38.454000,2.87621
2024-04-30 10:19:38.704000,2.872369
2024-04-30 10:19:38.954000,2.877491
2024-04-30 10:19:39.204000,2.87621
2024-04-30 10:19:39.454000,2.869808
2024-04-30 10:19:39.704000,2.860846
2024-04-30 10:19:39.954000,2.862126
2024-04-30 10:19:40.204000,2.858285
2024-04-30 10:19:40.454000,2.857004
2024-04-30 10:19:40.704000,2.853163
2024-04-30 10:19:40.954000,2.858285
2024-04-30 10:19:41.204000,2.849322
2024-04-30 10:19:41.454000,2.858285
2024-04-30 10:19:41.704000,2.845481
2024-04-30 10:19:41.954000,2.836518
2024-04-30 10:19:42.204000,2.837798
2024-04-30 10:19:42.454000,2.831396
2024-04-30 10:19:42.704000,2.828835
2024-04-30 10:19:42.954000,2.823714
2024-04-30 10:19:43.204000,2.828835
2024-04-30 10:19:43.454000,2.818592
2024-04-30 10:19:43.704000,2.819873
2024-04-30 10:19:43.954000,2.822433
2024-04-30 10:19:44.204000,2.817312
2024-04-30 10:19:44.454000,2.81091
2024-04-30 10:19:44.704000,2.81091
2024-04-30 10:19:44.954000,2.804508
2024-04-30 10:19:45.204000,2.803227
2024-04-30 10:19:45.454000,2.801947
2024-04-30 10:19:45.704000,2.803227
2024-04-30 10:19:45.954000,2.796825
2024-04-30 10:19:46.204000,2.801947
2024-04-30 10:19:46.454000,2.791704
2024-04-30 10:19:46.704000,2.789143
2024-04-30 10:19:46.954000,2.785302
2024-04-30 10:19:47.204000,2.784021
2024-04-30 10:19:47.454000,2.78146
2024-04-30 10:19:47.704000,2.789143
2024-04-30 10:19:47.954000,2.78146
2024-04-30 10:19:48.204000,2.78146
2024-04-30 10:19:48.454000,2.778899
2024-04-30 10:19:48.704000,2.777619
2024-04-30 10:19:48.954000,2.771217
2024-04-30 10:19:49.204000,2.773778
2024-04-30 10:19:49.454000,2.790423
2024-04-30 10:19:49.704000,2.798106
2024-04-30 10:19:49.954000,2.796825
2024-04-30 10:19:50.204000,2.801947
2024-04-30 10:19:50.454000,2.804508
2024-04-30 10:19:50.704000,2.809629
2024-04-30 10:19:50.954000,2.808349
2024-04-30 10:19:51.204000,2.798106
2024-04-30 10:19:51.454000,2.790423
2024-04-30 10:19:51.704000,2.787862
2024-04-30 10:19:51.954000,2.789143
2024-04-30 10:19:52.204000,2.78146
2024-04-30 10:19:52.454000,2.785302
2024-04-30 10:19:52.704000,2.785302
2024-04-30 10:19:52.954000,2.784021
2024-04-30 10:19:53.204000,2.792984
2024-04-30 10:19:53.454000,2.782741
2024-04-30 10:19:53.704000,2.78146
2024-04-30 10:19:53.954000,2.776339
2024-04-30 10:19:54.204000,2.78146
2024-04-30 10:19:54.454000,2.776339
2024-04-30 10:19:54.704000,2.772497
2024-04-30 10:19:54.954000,2.78146
2024-04-30 10:19:55.204000,2.771217
2024-04-30 10:19:55.454000,2.763535
2024-04-30 10:19:55.704000,2.760974
2024-04-30 10:19:55.954000,2.758413
2024-04-30 10:19:56.204000,2.755852
2024-04-30 10:19:56.454000,2.762254
2024-04-30 10:19:56.704000,2.753291
2024-04-30 10:19:56.954000,2.753291
2024-04-30 10:19:57.204000,2.754572
2024-04-30 10:19:57.454000,2.750731
2024-04-30 10:19:57.704000,2.74945
2024-04-30 10:19:57.954000,2.746889
2024-04-30 10:19:58.204000,2.740487
2024-04-30 10:19:58.454000,2.740487
2024-04-30 10:19:58.704000,2.74945
2024-04-30 10:19:58.954000,2.745609
2024-04-30 10:19:59.204000,2.741768
2024-04-30 10:19:59.454000,2.739207
2024-04-30 10:19:59.704000,2.740487
2024-04-30 10:19:59.954000,2.730244
2024-04-30 10:20:00.204000,2.730244
2024-04-30 10:20:00.454000,2.727683
2024-04-30 10:20:00.704000,2.725122
2024-04-30 10:20:00.954000,2.730244
2024-04-30 10:20:01.204000,2.727683
2024-04-30 10:20:01.454000,2.732805
2024-04-30 10:20:01.704000,2.725122
2024-04-30 10:20:01.954000,2.71616
2024-04-30 10:20:02.204000,2.720001
2024-04-30 10:20:02.454000,2.71744
2024-04-30 10:20:02.704000,2.714879
2024-04-30 10:20:02.954000,2.713599
2024-04-30 10:20:03.204000,2.71616
2024-04-30 10:20:03.454000,2.722562
2024-04-30 10:20:03.704000,2.71744
2024-04-30 10:20:03.954000,2.720001
2024-04-30 10:20:04.204000,2.709758
2024-04-30 10:20:04.454000,2.708477
2024-04-30 10:20:04.704000,2.705916
2024-04-30 10:20:04.954000,2.708477
2024-04-30 10:20:05.204000,2.722562
2024-04-30 10:20:05.454000,2.720001
2024-04-30 10:20:05.704000,2.723842
2024-04-30 10:20:05.954000,2.730244
2024-04-30 10:20:06.204000,2.726403
2024-04-30 10:20:06.454000,2.721281
2024-04-30 10:20:06.704000,2.726403
2024-04-30 10:20:06.954000,2.725122
2024-04-30 10:20:07.204000,2.725122
2024-04-30 10:20:07.454000,2.734085
2024-04-30 10:20:07.704000,2.727683
2024-04-30 10:20:07.954000,2.722562
2024-04-30 10:20:08.204000,2.722562
2024-04-30 10:20:08.454000,2.71616
2024-04-30 10:20:08.704000,2.708477
2024-04-30 10:20:08.954000,2.702075
2024-04-30 10:20:09.204000,2.700795
2024-04-30 10:20:09.454000,2.693112
2024-04-30 10:20:09.704000,2.702075
2024-04-30 10:20:09.954000,2.693112
2024-04-30 10:20:10.204000,2.690552
2024-04-30 10:20:10.454000,2.690552
2024-04-30 10:20:10.704000,2.68671
2024-04-30 10:20:10.954000,2.682869
2024-04-30 10:20:11.204000,2.676467
2024-04-30 10:20:11.454000,2.675187
2024-04-30 10:20:11.704000,2.680308
2024-04-30 10:20:11.954000,2.68415
2024-04-30 10:20:12.204000,2.698234
2024-04-30 10:20:12.454000,2.699514
2024-04-30 10:20:12.704000,2.700795
2024-04-30 10:20:12.954000,2.696954
2024-04-30 10:20:13.204000,2.696954
2024-04-30 10:20:13.454000,2.696954
2024-04-30 10:20:13.704000,2.736646
2024-04-30 10:20:13.954000,2.762254
2024-04-30 10:20:14.204000,2.74817
2024-04-30 10:20:14.454000,2.668785
2024-04-30 10:20:14.704000,2.640616
2024-04-30 10:20:14.954000,2.641896
2024-04-30 10:20:15.204000,2.636775
2024-04-30 10:20:15.454000,2.631653
2024-04-30 10:20:15.704000,2.615008
2024-04-30 10:20:15.954000,2.607325
2024-04-30 10:20:16.204000,2.594521
2024-04-30 10:20:16.454000,2.597082
2024-04-30 10:20:16.704000,2.586839
2024-04-30 10:20:16.954000,2.576595
2024-04-30 10:20:17.204000,2.586839
2024-04-30 10:20:17.454000,2.563791
2024-04-30 10:20:17.704000,2.562511
2024-04-30 10:20:17.954000,2.552268
2024-04-30 10:20:18.204000,2.549707
2024-04-30 10:20:18.454000,2.538183
2024-04-30 10:20:18.704000,2.52794
2024-04-30 10:20:18.954000,2.52794
2024-04-30 10:20:19.204000,2.521538
2024-04-30 10:20:19.454000,2.510014
2024-04-30 10:20:19.704000,2.507453
2024-04-30 10:20:19.954000,2.503612
2024-04-30 10:20:20.204000,2.494649
2024-04-30 10:20:20.454000,2.488247
2024-04-30 10:20:20.704000,2.488247
2024-04-30 10:20:20.954000,2.484406
2024-04-30 10:20:21.204000,2.484406
2024-04-30 10:20:21.454000,2.478004
2024-04-30 10:20:21.704000,2.483126
2024-04-30 10:20:21.954000,2.472883
2024-04-30 10:20:22.204000,2.4652
2024-04-30 10:20:22.454000,2.46392
2024-04-30 10:20:22.704000,2.462639
2024-04-30 10:20:22.954000,2.452396
2024-04-30 10:20:23.204000,2.473858
2024-04-30 10:20:23.454000,2.471297
2024-04-30 10:20:23.704000,2.468736
2024-04-30 10:20:23.954000,2.463614
2024-04-30 10:20:24.204000,2.459773
2024-04-30 10:20:24.454000,2.45081
2024-04-30 10:20:24.704000,2.446969
2024-04-30 10:20:24.954000,2.443128
2024-04-30 10:20:25.204000,2.444408
2024-04-30 10:20:25.454000,2.438006
2024-04-30 10:20:25.704000,2.436726
2024-04-30 10:20:25.954000,2.426482
2024-04-30 10:20:26.204000,2.421361
2024-04-30 10:20:26.454000,2.413678
2024-04-30 10:20:26.704000,2.400874
2024-04-30 10:20:26.954000,2.397033
2024-04-30 10:20:27.204000,2.393192
2024-04-30 10:20:27.454000,2.384229
2024-04-30 10:20:27.704000,2.382949
2024-04-30 10:20:27.954000,2.377827
2024-04-30 10:20:28.204000,2.365023
2024-04-30 10:20:28.454000,2.363743
