Datetime,valueEDA
53:08.3,9.763743
53:08.5,10.00957
53:08.8,10.26624
53:09.0,10.44421
53:09.3,10.49798
53:09.5,10.53928
53:09.8,10.55209
53:10.0,10.53928
53:10.3,10.71341
53:10.5,11.03733
53:10.8,11.4426
53:11.0,11.52454
53:11.3,11.66582
53:11.5,12.00126
53:11.8,12.36905
53:12.0,12.47403
53:12.3,12.93669
53:12.5,13.12618
53:12.8,13.52804
53:13.0,13.56544
53:13.3,13.48222
53:13.5,13.41564
53:13.8,13.36699
53:14.0,13.2428
53:14.3,12.99441
53:14.5,12.81901
53:14.8,12.41287
53:15.0,12.17361
53:15.3,11.94571
53:15.5,11.77753
53:15.8,11.8646
53:16.0,11.79418
53:16.3,12.36648
53:16.5,12.62383
53:16.8,12.591
53:17.0,12.95589
53:17.3,13.08008
53:17.5,13.3936
53:17.8,13.55364
53:18.0,13.61537
53:18.3,13.26456
53:18.5,13.08532
53:18.8,12.89199
53:19.0,12.619
53:19.3,12.3527
53:19.5,12.02253
53:19.8,11.95596
53:20.0,12.12706
53:20.3,12.26918
53:20.5,12.27558
53:20.8,11.71608
53:21.0,11.44081
53:21.3,11.46096
53:21.5,11.65685
53:21.8,11.95389
53:22.0,12.11393
53:22.3,12.25766
53:22.5,12.19364
53:22.8,11.99135
53:23.0,11.36399
53:23.3,10.81568
53:23.5,10.32232
53:23.8,10.11037
53:24.0,10.03995
53:24.3,10.06556
53:24.5,10.37924
53:24.8,10.81327
53:25.0,11.11927
53:25.3,11.49254
53:25.5,11.60692
53:25.8,11.57491
53:26.0,11.42511
53:26.3,11.1524
53:26.5,10.8464
53:26.8,10.5899
53:27.0,10.42474
53:27.3,10.2845
53:27.5,10.07836
53:27.8,10.13342
53:28.0,10.52136
53:28.3,10.91954
53:28.5,11.11543
53:28.8,11.29793
53:29.0,11.30561
53:29.3,11.11996
53:29.5,10.97144
53:29.8,10.94071
53:30.0,11.18526
53:30.3,11.53223
53:30.5,11.85018
53:30.8,11.64405
53:31.0,11.24971
53:31.3,11.50961
53:31.5,11.31629
53:31.8,10.9898
53:32.0,10.81568
53:32.3,10.59503
53:32.5,10.91127
53:32.8,10.43498
53:33.0,10.32035
53:33.3,10.21792
53:33.5,10.94003
53:33.8,10.86321
53:34.0,10.74157
53:34.3,10.72749
53:34.5,10.77742
53:34.8,10.73901
53:35.0,10.62634
53:35.3,10.49319
53:35.5,10.43686
53:35.8,10.28066
53:36.0,9.970817
53:36.3,9.793801
53:36.5,9.741308
53:36.8,9.819407
53:37.0,9.777157
53:37.3,9.751551
53:37.5,9.59535
53:37.8,9.546698
53:38.0,9.778438
53:38.3,9.971767
53:38.5,9.930797
53:38.8,9.682413
53:39.0,9.521091
53:39.3,9.373854
53:39.5,9.179914
53:39.8,8.836785
53:40.0,8.283786
53:40.3,8.182702
53:40.5,8.177581
53:40.8,8.100761
53:41.0,7.974009
53:41.3,7.7858
53:41.5,7.626181
53:41.8,7.763176
53:42.0,7.891209
53:42.3,8.276587
53:42.5,8.32524
53:42.8,8.408462
53:43.0,8.498085
53:43.3,8.533512
53:43.5,8.377313
53:43.8,8.209589
53:44.0,8.263363
53:44.5,8.48486
53:44.8,8.551437
53:45.0,8.548877
53:45.3,8.534793
53:45.5,8.314576
53:45.8,8.342744
53:46.0,8.342744
53:46.3,8.192945
53:46.5,8.075155
53:46.8,8.089238
53:47.0,7.942001
53:47.3,7.780679
53:47.5,7.425169
53:47.8,7.326934
53:48.0,7.210424
53:48.3,7.205303
53:48.5,7.186098
53:48.8,7.23475
53:49.0,7.470331
53:49.3,7.727677
53:49.5,7.863391
53:49.8,7.867232
53:50.0,7.66366
53:50.3,7.499778
53:50.5,7.419117
53:50.8,7.31413
53:51.0,7.571476
53:51.3,7.648296
53:51.5,7.696949
53:51.8,7.62269
53:52.0,7.489535
53:52.3,7.42936
