Datetime,valueEDA
2024-04-30 12:45:37.931000,10.85748
2024-04-30 12:45:38.181000,10.86005
2024-04-30 12:45:38.431000,10.86005
2024-04-30 12:45:38.681000,10.85492
2024-04-30 12:45:38.931000,10.8562
2024-04-30 12:45:39.181000,10.8562
2024-04-30 12:45:39.431000,10.86901
2024-04-30 12:45:39.681000,10.86133
2024-04-30 12:45:39.931000,10.86773
2024-04-30 12:45:40.181000,10.86517
2024-04-30 12:45:40.431000,10.86261
2024-04-30 12:45:40.681000,10.86261
2024-04-30 12:45:40.931000,10.86005
2024-04-30 12:45:41.181000,10.86133
2024-04-30 12:45:41.431000,10.85876
2024-04-30 12:45:41.681000,10.85492
2024-04-30 12:45:41.931000,10.87157
2024-04-30 12:45:42.181000,10.86517
2024-04-30 12:45:42.431000,10.86133
2024-04-30 12:45:42.681000,10.86773
2024-04-30 12:45:42.931000,10.86261
2024-04-30 12:45:43.181000,10.86517
2024-04-30 12:45:43.431000,10.86133
2024-04-30 12:45:43.681000,10.87541
2024-04-30 12:45:43.931000,10.86773
2024-04-30 12:45:44.181000,10.86389
2024-04-30 12:45:44.431000,10.86517
2024-04-30 12:45:44.681000,10.86517
2024-04-30 12:45:44.931000,10.86133
2024-04-30 12:45:45.181000,10.87285
2024-04-30 12:45:45.431000,10.86133
2024-04-30 12:45:45.681000,10.86005
2024-04-30 12:45:45.931000,10.86261
2024-04-30 12:45:46.181000,10.86261
2024-04-30 12:45:46.431000,10.86517
2024-04-30 12:45:46.681000,10.86133
2024-04-30 12:45:46.931000,10.87285
2024-04-30 12:45:47.181000,10.86645
2024-04-30 12:45:47.431000,10.87413
2024-04-30 12:45:47.681000,10.86773
2024-04-30 12:45:47.931000,10.86901
2024-04-30 12:45:48.181000,10.86773
2024-04-30 12:45:48.431000,10.86773
2024-04-30 12:45:48.681000,10.86645
2024-04-30 12:45:48.931000,10.86645
2024-04-30 12:45:49.181000,10.87797
2024-04-30 12:45:49.431000,10.87285
2024-04-30 12:45:49.681000,10.87413
2024-04-30 12:45:49.931000,10.86517
2024-04-30 12:45:50.181000,10.87029
2024-04-30 12:45:50.431000,10.86645
2024-04-30 12:45:50.681000,10.86389
2024-04-30 12:45:50.931000,10.86133
2024-04-30 12:45:51.181000,10.86005
2024-04-30 12:45:51.431000,10.86261
2024-04-30 12:45:51.681000,10.86389
2024-04-30 12:45:51.931000,10.86005
2024-04-30 12:45:52.181000,10.8562
2024-04-30 12:45:52.431000,10.86517
2024-04-30 12:45:52.681000,10.86517
2024-04-30 12:45:52.931000,10.87157
2024-04-30 12:45:53.181000,10.86261
2024-04-30 12:45:53.431000,10.86005
2024-04-30 12:45:53.681000,10.86389
2024-04-30 12:45:53.931000,10.86261
2024-04-30 12:45:54.181000,10.86389
2024-04-30 12:45:54.431000,10.86389
2024-04-30 12:45:54.681000,10.86005
2024-04-30 12:45:54.931000,10.87413
2024-04-30 12:45:55.181000,10.87157
2024-04-30 12:45:55.431000,10.86517
2024-04-30 12:45:55.681000,10.87157
2024-04-30 12:45:55.931000,10.86773
2024-04-30 12:45:56.181000,10.86517
2024-04-30 12:45:56.431000,10.86645
2024-04-30 12:45:56.681000,10.86261
2024-04-30 12:45:56.931000,10.86773
2024-04-30 12:45:57.181000,10.86901
2024-04-30 12:45:57.431000,10.86133
2024-04-30 12:45:57.681000,10.87541
2024-04-30 12:45:57.931000,10.87029
2024-04-30 12:45:58.181000,10.87413
2024-04-30 12:45:58.431000,10.86773
2024-04-30 12:45:58.681000,10.86901
2024-04-30 12:45:58.931000,10.86901
2024-04-30 12:45:59.181000,10.86261
2024-04-30 12:45:59.431000,10.86389
2024-04-30 12:45:59.681000,10.87029
2024-04-30 12:45:59.931000,10.86645
2024-04-30 12:46:00.181000,10.86645
2024-04-30 12:46:00.431000,10.86133
2024-04-30 12:46:00.681000,10.86005
2024-04-30 12:46:00.931000,10.85748
2024-04-30 12:46:01.181000,10.86517
2024-04-30 12:46:01.431000,10.86133
2024-04-30 12:46:01.681000,10.86005
2024-04-30 12:46:01.931000,10.86133
2024-04-30 12:46:02.181000,10.85748
2024-04-30 12:46:02.431000,10.86005
2024-04-30 12:46:02.681000,10.86005
2024-04-30 12:46:02.931000,10.85748
2024-04-30 12:46:03.181000,10.87413
2024-04-30 12:46:03.431000,10.86517
2024-04-30 12:46:03.681000,10.86773
2024-04-30 12:46:03.931000,10.86773
2024-04-30 12:46:04.181000,10.87029
2024-04-30 12:46:04.431000,10.86645
2024-04-30 12:46:04.681000,10.86773
2024-04-30 12:46:04.931000,10.87413
