Subject,Timestamp,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
1,0.0,4.707299999999999,4.574899999999999,4.8123000000000005,0.9620960834144717,Sadness,0.5185154125013213,Medium Fear,Admiration,Medium Fear
1,5.0,4.430199999999998,4.540699999999998,6.7620999999999984,0.6906885492918562,Sadness,0.33342374469327113,Low Fear,Admiration,Low Fear
1,10.0,4.907699999999998,4.3687999999999985,6.752799999999999,0.6371359478328095,Sadness,0.24899276676153825,No Fear,Admiration,Low Fear
1,15.0,4.562299999999997,4.7584,5.530200000000003,0.8295666328979736,Sadness,0.41472937874993326,Low Fear,Admiration,Medium Fear
1,20.0,4.8093999999999975,4.440999999999999,6.769500000000002,0.6420688060638737,Sadness,0.26984834141397634,Low Fear,Admiration,Low Fear
1,25.0,4.307299999999999,4.426499999999999,5.389000000000001,0.9568871151043441,Sadness,0.4491805931732214,Low Fear,Admiration,Medium Fear
1,30.0,3.6204999999999985,5.187000000000001,6.1103,0.7367729188175952,Sadness,0.5472563229830253,Medium Fear,Admiration,Low Fear
1,35.0,4.8243,4.837400000000001,5.648199999999999,0.6730943240415519,Sadness,0.32194826571697016,Low Fear,Admiration,Medium Fear
1,40.0,4.5029,4.227099999999998,5.247500000000001,0.9717991743284419,Sadness,0.3971701906496287,Low Fear,Admiration,Medium Fear
1,45.0,4.505599999999999,4.250000000000001,5.1186,0.985561382428864,Sadness,0.42336519420966495,Low Fear,Admiration,Medium Fear
1,50.0,4.5127,4.086899999999999,6.3618,0.789461835521609,Sadness,0.29381856463439016,Low Fear,Admiration,Low Fear
1,55.0,4.5310000000000015,5.165100000000001,5.5104999999999995,0.6507741352891936,Sadness,0.5319284339591309,Medium Fear,Admiration,Medium Fear
1,60.0,4.572,4.2313,5.239000000000002,0.9640730035668496,Sadness,0.38034943754958433,Low Fear,Admiration,Medium Fear
1,65.0,4.5027,4.447199999999999,4.919400000000001,0.9963953875076432,Sadness,0.5061678310781728,Medium Fear,Admiration,Medium Fear
1,70.0,4.7996,4.183999999999999,5.1985,0.9162167997081655,Sadness,0.3167578796276572,Low Fear,Admiration,Medium Fear
