22068.100818169216,16161.741752832146,-14227.9582295368,-65867.12638939935,-15880.33329013983,-35778.97379147694,-27990.97782265876,-58114.42382507609
22086.630414322663,16171.956500048222,-14205.539429848128,-65856.55401427198,-15854.315859593851,-35756.55499178827,-27978.25968006369,-58096.85535393422
22109.13862098916,16204.143012063863,-14053.145236151844,-65862.25370910809,-15797.69889088856,-35781.85716651168,-27976.31507829608,-58117.48601406646
22095.347594660238,16168.357869190915,-14061.63889904486,-65891.02040422206,-15819.715359177037,-35811.60733838169,-28003.628910020463,-58148.55493885934
22068.279632124857,16123.09558666892,-14225.365427179984,-65892.11563970038,-15874.588891814816,-35783.62295432365,-28002.1089913975,-58121.66579027961
22074.5604723168,16118.312313355484,-14244.476168689273,-65880.29156688352,-15863.27890912043,-35754.83390746521,-27984.87579642246,-58099.49285977994
22085.46812361099,16140.373485132872,-14097.401690173352,-65886.1477239308,-15812.831021884802,-35782.46066361197,-27989.48025578025,-58127.41018860462
22074.649879294622,16132.99740946262,-14054.97807919718,-65908.11948873037,-15818.03897834289,-35812.56846339327,-28008.658052522907,-58160.110790742736
22059.98713493194,16101.146173613808,-14200.800860023604,-65903.53738111704,-15864.597662043294,-35792.18367245003,-28000.05263090761,-58133.221642163
22064.94922220102,16081.90132163779,-14256.05437231712,-65891.3556803889,-15875.348851126297,-35771.39655010659,-27989.435552291343,-58108.94764768454
22075.253376394918,16102.263760836571,-14120.93807708479,-65896.54128510253,-15836.702684963073,-35783.35473339018,-27996.811627961597,-58137.64728756515
22068.74901875842,16108.47754579515,-14042.371695324386,-65917.48486965714,-15829.907754648655,-35821.73267861995,-28020.92916022887,-58176.42756419511
22046.48668128093,16079.353222769883,-14170.71541198676,-65911.98634052114,-15884.222493675054,-35802.06314349928,-28022.560837574107,-58163.30709019984
22053.393370317623,16072.982975600122,-14248.365372224496,-65883.08553494043,-15892.649101334704,-35762.32174185774,-27990.68724998084,-58124.12448216969
22066.67030652408,16091.825496175945,-14128.448263221771,-65878.68224128273,-15841.485958276506,-35771.95534371798,-27983.57939524405,-58141.223566678
22064.993925689927,16095.04414737751,-14016.44367175623,-65897.68122406975,-15823.716321434536,-35808.18752148003,-28013.128401413967,-58184.76476487693
