,Timestamp,Engagement,Emotion,Valence,Arousal,Dominance
0,1731077437.2189343,-0.09717254971882794,Deseo,2,1,1
1,1731077448.3422735,-0.11264354101997431,Deseo,2,1,1
2,1731077459.108408,0.16017193656017215,Deseo,2,1,1
3,1731077469.6296287,0.30045567548728425,Deseo,2,1,1
4,1731077480.2397368,0.22383418512631104,Admiracion,1,1,1
5,1731077490.760816,0.3694352108225578,Deseo,2,1,1
6,1731077501.4476602,0.49128339051112824,Deseo,2,1,1
7,1731077511.8861928,0.11027038480324891,Deseo,2,1,1
8,1731077522.6236978,0.30563250338762904,Deseo,2,1,1
9,1731077533.1538954,0.22221357587188795,Deseo,2,1,1
10,1731077543.6526048,0.21886299243717544,Deseo,2,1,1
