,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,35.0,0.0072956085205078125,0.116729736328125,False
1,sdnn,79.0,0.34881019592285156,1.0,False
2,rmssd,90.0,0.5958194732666016,1.0,False
3,pnn50,33.0,0.005580902099609375,0.09487533569335938,False
4,hr_mad,31.5,0.3241565862648583,1.0,False
5,lf,59.0,0.08969497680664062,0.8072547912597656,False
6,hf,80.0,0.36827659606933594,1.0,False
7,lf/hf,59.0,0.08969497680664062,0.8072547912597656,False
8,p_total,46.0,0.026641845703125,0.346343994140625,False
9,lf_nu,55.0,0.06372261047363281,0.7646713256835938,False
10,hf_nu,55.0,0.06372261047363281,0.7646713256835938,False
11,mean_eda,92.0,0.6476554870605469,1.0,False
12,mean_tonic,88.0,0.5458755493164062,1.0,False
13,scr_peak_count,37.5,0.02064611952459729,0.28904567334436204,False
14,scr_sum_amp,41.0,0.01531219482421875,0.22968292236328125,False
15,scr_mean_amp,27.0,0.0023250579833984375,0.041851043701171875,True
16,scr_mean_risetime,98.0,0.8123550415039062,1.0,False
17,scr_mean_recoverytime,56.0,0.069580078125,0.7646713256835938,False
