,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,28.0,0.005329132080078125,0.058620452880859375,False
1,sdnn,53.0,0.09551239013671875,0.5730743408203125,False
2,rmssd,27.0,0.00457763671875,0.054931640625,False
3,pnn50,16.0,0.0024719854430073768,0.03359222412109375,True
4,hr_mad,39.5,0.6734798170416999,1.0,False
5,lf,90.0,0.8595733642578125,1.0,False
6,hf,46.0,0.049365997314453125,0.36067962646484375,False
7,lf/hf,43.0,0.036067962646484375,0.36067962646484375,False
8,p_total,83.0,0.6507492065429688,1.0,False
9,lf_nu,43.0,0.036067962646484375,0.36067962646484375,False
10,hf_nu,43.0,0.036067962646484375,0.36067962646484375,False
11,mean_eda,86.0,0.7380905151367188,1.0,False
12,mean_tonic,86.0,0.7380905151367188,1.0,False
13,scr_peak_count,11.0,0.000209808349609375,0.003566741943359375,True
14,scr_sum_amp,17.0,0.000789642333984375,0.011844635009765625,True
15,scr_mean_amp,23.0,0.002399444580078125,0.03359222412109375,True
16,scr_mean_risetime,10.0,0.000164031982421875,0.00295257568359375,True
17,scr_mean_recoverytime,12.0,0.00026702880859375,0.0042724609375,True
