,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,142.0,0.5964998602867126,1.0,False
1,sdnn,160.0,0.9578450322151184,1.0,False
2,rmssd,113.0,0.19081425666809082,1.0,False
3,pnn50,104.0,0.11993378400802612,1.0,False
4,hr_mad,122.0,0.8828845630114484,1.0,False
5,lf,140.0,0.5601714849472046,1.0,False
6,hf,127.0,0.3525196313858032,1.0,False
7,lf/hf,126.0,0.33878785371780396,1.0,False
8,p_total,147.0,0.6915188431739807,1.0,False
9,lf_nu,115.0,0.20993918180465698,1.0,False
10,hf_nu,115.0,0.20993918180465698,1.0,False
11,mean_eda,135.0,0.4741646647453308,1.0,False
12,mean_tonic,135.0,0.4741646647453308,1.0,False
13,scr_peak_count,85.5,0.06525375757950135,1.0,False
14,scr_sum_amp,29.0,0.000102996826171875,0.00185394287109375,True
15,scr_mean_amp,51.0,0.0018156766891479492,0.030866503715515137,True
16,scr_mean_risetime,117.0,0.23036134243011475,1.0,False
17,scr_mean_recoverytime,91.0,0.09185084396186832,1.0,False
