,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,34.0,0.012359619140625,0.135955810546875,False
1,sdnn,71.0,0.3524589538574219,1.0,False
2,rmssd,66.0,0.25792694091796875,1.0,False
3,pnn50,89.0,0.8287849426269531,1.0,False
4,hr_mad,39.0,0.23061451984475712,1.0,False
5,lf,55.0,0.11337661743164062,1.0,False
6,hf,88.0,0.7982521057128906,1.0,False
7,lf/hf,95.0,1.0,1.0,False
8,p_total,64.0,0.22532272338867188,1.0,False
9,lf_nu,85.0,0.70855712890625,1.0,False
10,hf_nu,85.0,0.70855712890625,1.0,False
11,mean_eda,27.0,0.00457763671875,0.05950927734375,False
12,mean_tonic,27.0,0.00457763671875,0.05950927734375,False
13,scr_peak_count,12.0,0.00026702880859375,0.0048065185546875,True
14,scr_sum_amp,12.0,0.00026702880859375,0.0048065185546875,True
15,scr_mean_amp,14.0,0.00041961669921875,0.00629425048828125,True
16,scr_mean_risetime,15.0,0.000522613525390625,0.00731658935546875,True
17,scr_mean_recoverytime,12.0,0.00026702880859375,0.0048065185546875,True
