,Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Acc_1,Acc_2,Acc_3
0,1700233476.7312744,31768.62380130575,48165.34944359654,36934.96131121651,-5157.150942939633,2781.4957835073214,20589.93525385085,-1534.4249051123745,-14357.710106099858,0.0,0.0,0.0
1,1700233476.7485049,31756.598562788793,48151.22314110078,36779.527280274306,-5161.956567997524,2778.8135741726846,20580.771038624174,-1577.6084754000278,-14383.03463256772,0.024,0.902,0.126
2,1700233476.751391,31758.81138548987,48155.0676411471,36696.64701183403,-5147.293823634842,2801.6794087504636,20618.970169898294,-1578.569600411606,-14312.380768344496,0.024,0.902,0.126
3,1700233476.75551,31755.637437777215,48151.64782424543,36637.124316349546,-5147.293823634842,2821.5277578267765,20626.569763013096,-1567.2372659727653,-14261.575253197581,0.024,0.902,0.126
4,1700233476.7584548,31739.76769921395,48153.23479810176,36553.48408859779,-5154.759306282915,2815.2916211237457,20601.379347011967,-1586.2809522486868,-14282.272968563197,0.024,0.902,0.126
5,1700233476.7624457,31736.70551022357,48163.270731362194,36477.77873012766,-5147.763210268404,2795.957362169905,20584.30261424811,-1602.6424291899716,-14347.495358883782,0.024,0.902,0.126
6,1700233476.7664592,31745.020359160946,48162.33195809507,36455.33757869453,-5145.706849778516,2784.6920829644305,20559.089846502524,-1604.9893623577789,-14369.534178916714,0.024,0.902,0.126
7,1700233476.7703927,31738.985388158013,48128.267899545186,36487.18881454335,-5138.554291552817,2792.64930399052,20562.77788433765,-1590.1254522949998,-14326.037684206687,0.024,0.902,0.126
8,1700233476.7755194,31731.89988516568,48099.724721875755,36496.688305936856,-5136.967317696491,2808.4966908093324,20552.898413288407,-1583.3305219805864,-14292.577122757093,0.054,0.896,0.038
9,1700233476.7784975,31722.400393772175,48105.267954500676,36458.355064196,-5136.073247918278,2792.761062712796,20547.01990449666,-1594.953429097346,-14326.082387695598,0.054,0.896,0.038
10,1700233476.7835202,31719.56172222635,48115.95208835031,36457.88567756244,-5119.309439576798,2781.093452107126,20599.814724900094,-1580.2683329902093,-14301.048433905655,0.054,0.896,0.038
11,1700233476.7864003,31721.551027482874,48118.388428495935,36492.6649919349,-5122.39398031163,2801.0759116501704,20614.5668762406,-1563.5492281376396,-14250.622898414482,0.054,0.896,0.038
12,1700233476.7903533,31714.018489601433,48106.296134745615,36503.28207055117,-5147.360878868209,2787.7542719548073,20596.372556253977,-1557.827181557081,-14239.424674442373,0.054,0.896,0.038
13,1700233476.796398,31719.00292861497,48111.21351852579,36483.053741819116,-5156.413335372607,2785.250876575813,20580.01107931269,-1573.9204375649022,-14272.974642869789,0.054,0.896,0.038
