Datetime,valueEDA
2024-05-02 12:30:59.871000,21.36353
2024-05-02 12:31:00.121000,21.30332
2024-05-02 12:31:00.371000,21.27641
2024-05-02 12:31:00.621000,21.21236
2024-05-02 12:31:00.871000,21.16367
2024-05-02 12:31:01.121000,21.09705
2024-05-02 12:31:01.371000,21.03043
2024-05-02 12:31:01.621000,21.05861
2024-05-02 12:31:01.871000,20.93818
2024-05-02 12:31:02.121000,20.87345
2024-05-02 12:31:02.371000,20.8363
2024-05-02 12:31:02.621000,20.80683
2024-05-02 12:31:02.871000,20.78249
2024-05-02 12:31:03.121000,20.76327
2024-05-02 12:31:03.371000,20.74918
2024-05-02 12:31:03.621000,20.7338
2024-05-02 12:31:03.871000,20.71459
2024-05-02 12:31:04.121000,20.72356
2024-05-02 12:31:04.371000,20.72356
2024-05-02 12:31:04.621000,20.71459
2024-05-02 12:31:04.871000,20.71203
2024-05-02 12:31:05.121000,20.73252
2024-05-02 12:31:05.371000,20.75815
2024-05-02 12:31:05.621000,20.74534
2024-05-02 12:31:05.871000,20.77865
2024-05-02 12:31:06.121000,20.79018
2024-05-02 12:31:06.371000,20.77224
2024-05-02 12:31:06.621000,20.7479
2024-05-02 12:31:06.871000,20.72356
2024-05-02 12:31:07.121000,20.73509
2024-05-02 12:31:07.371000,20.69921
2024-05-02 12:31:07.621000,20.6864
2024-05-02 12:31:07.871000,20.65437
2024-05-02 12:31:08.121000,20.70306
2024-05-02 12:31:08.371000,20.68256
2024-05-02 12:31:08.621000,20.61337
2024-05-02 12:31:08.871000,20.65822
2024-05-02 12:31:09.121000,20.59928
2024-05-02 12:31:09.371000,20.80427
2024-05-02 12:31:09.621000,20.81196
2024-05-02 12:31:09.871000,20.80299
2024-05-02 12:31:10.121000,20.78505
2024-05-02 12:31:10.371000,20.73765
2024-05-02 12:31:10.621000,20.72099
2024-05-02 12:31:10.871000,20.54291
2024-05-02 12:31:11.121000,20.73509
2024-05-02 12:31:11.371000,20.7274
2024-05-02 12:31:11.621000,20.75174
2024-05-02 12:31:11.871000,20.77865
2024-05-02 12:31:12.121000,20.77993
2024-05-02 12:31:12.371000,20.7889
2024-05-02 12:31:12.621000,20.79914
2024-05-02 12:31:12.871000,20.80811
