Subject,Timestamp,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
1,0.0,4.817099999999998,4.732899999999997,3.887099999999997,0.7562152317830296,Hate,0.6712547651973144,Medium Fear,Admiration,Medium Fear
1,10.0,4.980200000000007,1.6398,5.443500000000004,0.8525729243553613,Sadness,0.27704496256593875,Low Fear,Sadness,Low Fear
1,20.0,4.136099999999994,2.9451999999999985,3.682199999999998,0.8985117098258808,Sadness,0.5090075298140413,Medium Fear,Sadness,Low Fear
1,30.0,3.9516999999999967,3.476200000000007,3.732799999999996,0.9056033947132667,Sadness,0.5653528157044684,Medium Fear,Admiration,Medium Fear
1,40.0,4.081099999999996,2.856099999999999,3.5378999999999987,0.8933546476683267,Sadness,0.5158347362504743,Medium Fear,Sadness,Low Fear
1,50.0,5.028599999999998,5.000899999999993,3.864599999999997,0.7960814908782142,Love,0.6903860456030476,Medium Fear,Admiration,Medium Fear
1,60.0,3.697399999999998,2.754799999999999,3.660399999999998,0.9294208876143812,Sadness,0.5250032079968859,Medium Fear,Sadness,Low Fear
1,70.0,3.8289999999999957,1.942099999999999,3.0177000000000014,0.8906081297841066,Sadness,0.5045804876779394,Medium Fear,Sadness,Low Fear
1,80.0,4.4981999999999935,3.0529999999999986,3.7914999999999974,0.8690670153958298,Sadness,0.48144629635110364,Low Fear,Admiration,Medium Fear
1,90.0,4.981600000000005,4.116299999999999,5.423900000000004,0.8253554305278764,Sadness,0.2255461045298728,No Fear,Admiration,Medium Fear
1,100.0,4.877599999999993,5.8488,6.794400000000005,0.7133953055633415,Admiration,0.4231882846510675,Low Fear,Admiration,Low Fear
1,110.0,3.7929000000000013,4.467899999999997,8.023099999999992,0.6864244929251471,Sadness,0.3651754623580558,Low Fear,Admiration,Low Fear
1,120.0,5.025200000000001,5.7133999999999965,7.309600000000014,0.6475551741219636,Admiration,0.37342828028941377,Low Fear,Admiration,Low Fear
1,130.0,4.949800000000006,4.4972999999999965,8.03999999999999,0.5634325726509251,Sadness,0.2729572837535973,Low Fear,Admiration,Low Fear
1,140.0,5.617300000000005,2.510700000000001,7.219200000000004,0.6951480907549145,Sadness,0.1386497898400452,No Fear,Sadness,No Fear
1,150.0,5.114200000000011,1.3557,6.661499999999995,0.8114892012804402,Sadness,0.21472029954353763,No Fear,Sadness,No Fear
1,160.0,4.93950000000001,1.5912000000000004,7.0116999999999985,0.8098526634973273,Sadness,0.21433223168616602,No Fear,Sadness,No Fear
2,0.0,5.047000000000002,4.932099999999994,4.4047,0.7758983070631418,Love,0.6526870019761317,Medium Fear,Admiration,Medium Fear
2,10.0,4.980600000000007,2.2531000000000008,5.483500000000004,0.8506512730695501,Sadness,0.26857557744047345,Low Fear,Sadness,Low Fear
2,20.0,3.655999999999994,2.2579999999999982,2.895200000000002,0.8895128239178496,Sadness,0.5350941417498989,Medium Fear,Sadness,Medium Fear
2,30.0,3.795299999999993,3.0681999999999987,3.579699999999997,0.9132585269275932,Sadness,0.5476533072170389,Medium Fear,Admiration,Medium Fear
2,40.0,3.9459,3.4647999999999985,4.077699999999998,0.940520100607799,Sadness,0.5391153231630325,Medium Fear,Admiration,Medium Fear
2,50.0,4.547200000000003,2.1669,4.619199999999999,0.9014008220176231,Sadness,0.36940300496703016,Low Fear,Sadness,Low Fear
2,60.0,6.363799999999998,6.090399999999997,6.388000000000002,0.8889986110800786,Joy,0.3585037047846743,Low Fear,Joy,Low Fear
2,70.0,6.580199999999998,5.567499999999999,7.475900000000011,0.7641135633177272,Desire,0.26488254344354634,Low Fear,Joy,No Fear
2,80.0,4.798900000000005,4.4972999999999965,8.03999999999999,0.5805841534569609,Sadness,0.2851815626500446,Low Fear,Admiration,Low Fear
2,90.0,4.688999999999989,5.712600000000002,9.0,0.5874384927435081,Admiration,0.3614288024724235,Low Fear,Admiration,Low Fear
2,100.0,4.684500000000002,4.796800000000001,5.195700000000003,0.933299639820186,Sadness,0.4637077436703838,Low Fear,Admiration,Medium Fear
2,110.0,3.327500000000002,3.1725999999999974,3.939999999999999,0.9592349620446432,Sadness,0.562125674806677,Medium Fear,Admiration,Medium Fear
2,120.0,6.1129,5.201699999999995,5.839000000000002,0.8951375764067186,Desire,0.2452656991656967,No Fear,Desire,Low Fear
