Datetime,valueBVP
2024-04-30 13:00:52.714090,-13.60165
2024-04-30 13:00:52.729720,-14.39265
2024-04-30 13:00:52.745350,-15.0827
2024-04-30 13:00:52.760970,-15.82388
2024-04-30 13:00:52.776600,-16.82161
2024-04-30 13:00:52.792220,-18.28013
2024-04-30 13:00:52.807850,-20.34163
2024-04-30 13:00:52.823470,-22.9232
2024-04-30 13:00:52.839100,-25.68465
2024-04-30 13:00:52.854730,-28.00896
2024-04-30 13:00:52.870350,-29.15875
2024-04-30 13:00:52.885980,-28.50031
2024-04-30 13:00:52.901600,-25.71698
2024-04-30 13:00:52.917230,-20.93543
2024-04-30 13:00:52.932850,-14.69749
2024-04-30 13:00:52.948480,-7.806458
2024-04-30 13:00:52.964110,-1.060791
2024-04-30 13:00:52.979730,4.92292
2024-04-30 13:00:52.995360,9.826706
2024-04-30 13:00:53.010980,13.67709
2024-04-30 13:00:53.026610,16.67623
2024-04-30 13:00:53.042230,19.12473
2024-04-30 13:00:53.057860,21.26083
2024-04-30 13:00:53.073490,23.20055
2024-04-30 13:00:53.089110,24.89928
2024-04-30 13:00:53.104740,26.20761
2024-04-30 13:00:53.120360,26.94646
2024-04-30 13:00:53.135990,26.96262
2024-04-30 13:00:53.151610,26.24322
2024-04-30 13:00:53.167240,24.92078
2024-04-30 13:00:53.182870,23.21382
2024-04-30 13:00:53.198490,21.36827
2024-04-30 13:00:53.214120,19.58881
2024-04-30 13:00:53.229740,17.97392
2024-04-30 13:00:53.245370,16.54639
2024-04-30 13:00:53.260990,15.29527
2024-04-30 13:00:53.276620,14.19791
2024-04-30 13:00:53.292250,13.23878
2024-04-30 13:00:53.307870,12.35174
2024-04-30 13:00:53.323500,11.39637
2024-04-30 13:00:53.339120,10.19641
2024-04-30 13:00:53.354750,8.636375
2024-04-30 13:00:53.370370,6.729736
2024-04-30 13:00:53.386000,4.660042
2024-04-30 13:00:53.401630,2.691612
2024-04-30 13:00:53.417250,1.042976
2024-04-30 13:00:53.432880,-0.1949158
2024-04-30 13:00:53.448500,-1.108253
2024-04-30 13:00:53.464130,-1.866386
2024-04-30 13:00:53.479750,-2.614586
2024-04-30 13:00:53.495380,-3.468903
2024-04-30 13:00:53.511010,-4.485878
2024-04-30 13:00:53.526630,-5.726044
2024-04-30 13:00:53.542260,-7.244415
2024-04-30 13:00:53.557880,-9.070946
2024-04-30 13:00:53.573510,-11.12379
2024-04-30 13:00:53.589130,-13.23442
2024-04-30 13:00:53.604760,-15.21365
2024-04-30 13:00:53.620390,-16.92505
2024-04-30 13:00:53.636010,-18.3963
2024-04-30 13:00:53.651640,-19.79894
2024-04-30 13:00:53.667260,-21.37431
2024-04-30 13:00:53.682890,-23.3362
2024-04-30 13:00:53.698510,-25.81038
2024-04-30 13:00:53.714140,-28.7031
2024-04-30 13:00:53.729770,-31.69165
2024-04-30 13:00:53.745390,-34.21423
2024-04-30 13:00:53.776640,-35.00693
2024-04-30 13:00:53.792270,-32.1348
2024-04-30 13:00:53.807890,-26.89812
2024-04-30 13:00:53.823520,-19.72163
2024-04-30 13:00:53.839150,-11.40046
2024-04-30 13:00:53.854770,-2.820969
2024-04-30 13:00:53.870400,5.218552
2024-04-30 13:00:53.886020,12.1952
2024-04-30 13:00:53.901650,17.88413
2024-04-30 13:00:53.917270,22.3221
2024-04-30 13:00:53.932900,25.70014
2024-04-30 13:00:53.948530,28.29701
2024-04-30 13:00:53.964150,30.36361
2024-04-30 13:00:53.979780,32.0229
2024-04-30 13:00:53.995400,33.27167
2024-04-30 13:00:54.011030,33.95393
2024-04-30 13:00:54.026650,33.86887
2024-04-30 13:00:54.042280,32.89812
2024-04-30 13:00:54.057910,31.08845
2024-04-30 13:00:54.073530,28.70697
2024-04-30 13:00:54.089160,26.15066
2024-04-30 13:00:54.104780,23.81762
2024-04-30 13:00:54.120410,21.93978
2024-04-30 13:00:54.136030,20.55731
2024-04-30 13:00:54.151660,19.51521
2024-04-30 13:00:54.167290,18.61152
2024-04-30 13:00:54.182910,17.63947
2024-04-30 13:00:54.198540,16.45919
2024-04-30 13:00:54.214160,15.00105
2024-04-30 13:00:54.229790,13.24439
2024-04-30 13:00:54.245410,11.21947
2024-04-30 13:00:54.261040,8.989746
2024-04-30 13:00:54.276670,6.680969
2024-04-30 13:00:54.292290,4.473824
2024-04-30 13:00:54.307920,2.551056
2024-04-30 13:00:54.323540,1.019829
2024-04-30 13:00:54.339170,-0.1457291
2024-04-30 13:00:54.354790,-1.073387
2024-04-30 13:00:54.370420,-1.925362
2024-04-30 13:00:54.386050,-2.84256
2024-04-30 13:00:54.401670,-3.910866
2024-04-30 13:00:54.417300,-5.175758
2024-04-30 13:00:54.432920,-6.631454
2024-04-30 13:00:54.448550,-8.282814
2024-04-30 13:00:54.464170,-10.10916
