,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,57.0,0.0004729032516479492,0.008512258529663086,True
1,sdnn,145.0,0.1935620754957199,1.0,False
2,rmssd,193.0,0.831373319029808,1.0,False
3,pnn50,95.0,0.023923853164438725,0.33493394430214213,False
4,hr_mad,90.5,0.376647247971599,1.0,False
5,lf,117.0,0.05049888789653778,0.6564855426549911,False
6,hf,143.0,0.17823376506567,1.0,False
7,lf/hf,156.0,0.2945980280637741,1.0,False
8,p_total,97.0,0.014598868787288666,0.21898303180933,False
9,lf_nu,146.0,0.2015676274895668,1.0,False
10,hf_nu,146.0,0.2015676274895668,1.0,False
11,mean_eda,181.0,0.6295278295874596,1.0,False
12,mean_tonic,184.0,0.6781789660453796,1.0,False
13,scr_peak_count,159.0,0.47085523697115295,1.0,False
14,scr_sum_amp,78.0,0.003438994288444519,0.058462902903556824,False
15,scr_mean_amp,85.0,0.006060026586055756,0.09696042537689209,False
16,scr_mean_risetime,165.0,0.3989470452070236,1.0,False
17,scr_mean_recoverytime,163.0,0.3740789592266083,1.0,False
