,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,63.0,0.0008751451969146729,0.01225203275680542,True
1,sdnn,101.0,0.019113145768642426,0.24847089499235153,False
2,rmssd,20.0,2.7641654014587402e-06,4.4226646423339844e-05,True
3,pnn50,3.0,3.725290298461914e-08,6.705522537231445e-07,True
4,hr_mad,72.5,0.07729869822059271,0.7729869822059271,False
5,lf,198.0,0.9196710959076881,1.0,False
6,hf,111.0,0.03575380891561508,0.429045706987381,False
7,lf/hf,133.0,0.11451615393161774,0.9161292314529419,False
8,p_total,161.0,0.35016296058893204,1.0,False
9,lf_nu,143.0,0.17823376506567,1.0,False
10,hf_nu,143.0,0.17823376506567,1.0,False
11,mean_eda,194.0,0.8489041775465012,1.0,False
12,mean_tonic,192.0,0.813923291862011,1.0,False
13,scr_peak_count,127.0,0.08565542846918106,0.7729869822059271,False
14,scr_sum_amp,22.0,3.993511199951172e-06,5.990266799926758e-05,True
15,scr_mean_amp,15.0,1.0207295417785645e-06,1.7352402210235596e-05,True
16,scr_mean_risetime,120.0,0.05953092873096466,0.6548402160406113,False
17,scr_mean_recoverytime,138.0,0.14377250522375107,1.0,False
