Datetime,valueTemp
2024-04-30 10:05:22.722390,33.29
2024-04-30 10:05:24.722480,33.29
2024-04-30 10:05:26.722570,33.29
2024-04-30 10:05:28.722670,33.29
2024-04-30 10:05:30.722760,33.29
2024-04-30 10:05:32.722850,33.29
2024-04-30 10:05:34.722940,33.29
2024-04-30 10:05:36.723040,33.29
2024-04-30 10:05:38.723130,33.29
2024-04-30 10:05:40.723220,33.29
2024-04-30 10:05:42.723320,33.29
2024-04-30 10:05:44.723410,33.29
2024-04-30 10:05:46.723500,33.29
2024-04-30 10:05:48.723590,33.29
2024-04-30 10:05:50.723690,33.29
2024-04-30 10:05:52.723780,33.29
2024-04-30 10:05:54.723870,33.29
2024-04-30 10:05:56.723960,33.29
2024-04-30 10:05:58.724060,33.29
2024-04-30 10:06:00.724150,33.29
2024-04-30 10:06:02.724240,33.29
2024-04-30 10:06:04.724330,33.29
2024-04-30 10:06:06.724430,33.29
2024-04-30 10:06:08.724520,33.29
2024-04-30 10:06:10.724610,33.29
2024-04-30 10:06:12.724700,33.29
2024-04-30 10:06:14.724800,33.29
2024-04-30 10:06:16.724890,33.29
2024-04-30 10:06:18.724980,33.29
2024-04-30 10:06:20.725070,33.29
2024-04-30 10:06:22.725170,33.29
2024-04-30 10:06:24.725260,33.29
2024-04-30 10:06:26.725350,33.29
2024-04-30 10:06:28.725440,33.29
2024-04-30 10:06:30.725540,33.29
2024-04-30 10:06:32.725630,33.29
2024-04-30 10:06:34.725720,33.29
2024-04-30 10:06:36.725820,33.29
2024-04-30 10:06:38.725910,33.29
2024-04-30 10:06:40.726000,33.29
2024-04-30 10:06:42.726090,33.29
2024-04-30 10:06:44.726190,33.29
2024-04-30 10:06:46.726280,33.29
2024-04-30 10:06:48.726370,33.29
2024-04-30 10:06:50.726460,33.29
2024-04-30 10:06:52.726560,33.29
2024-04-30 10:06:54.726650,33.29
2024-04-30 10:06:56.726740,33.29
2024-04-30 10:06:58.726830,33.29
2024-04-30 10:07:00.726930,33.29
2024-04-30 10:07:02.727020,33.29
2024-04-30 10:07:04.727110,33.29
2024-04-30 10:07:06.727200,33.29
2024-04-30 10:07:08.727300,33.29
2024-04-30 10:07:10.727390,33.29
2024-04-30 10:07:12.727480,33.29
2024-04-30 10:07:14.727570,33.29
2024-04-30 10:07:16.727670,33.29
2024-04-30 10:07:18.727760,33.29
2024-04-30 10:07:20.727850,33.29
2024-04-30 10:07:22.727940,33.29
2024-04-30 10:07:24.728040,33.29
2024-04-30 10:07:26.728130,33.29
2024-04-30 10:07:28.728220,33.29
2024-04-30 10:07:30.728320,33.29
2024-04-30 10:07:32.728410,33.29
2024-04-30 10:07:34.728500,33.29
2024-04-30 10:07:36.728590,33.29
2024-04-30 10:07:38.728690,33.29
2024-04-30 10:07:40.728780,33.29
2024-04-30 10:07:42.728870,33.29
2024-04-30 10:07:44.728960,33.29
2024-04-30 10:07:46.729060,33.29
2024-04-30 10:07:48.729150,33.29
2024-04-30 10:07:50.729240,33.29
2024-04-30 10:07:52.729330,33.29
2024-04-30 10:07:54.729430,33.29
2024-04-30 10:07:56.729520,33.29
2024-04-30 10:07:58.729610,33.29
2024-04-30 10:08:00.729700,33.29
2024-04-30 10:08:02.729800,33.29
2024-04-30 10:08:04.729890,33.29
2024-04-30 10:08:06.729980,33.29
2024-04-30 10:08:08.730070,33.29
2024-04-30 10:08:10.730170,33.29
2024-04-30 10:08:12.730260,33.29
2024-04-30 10:08:14.730350,33.29
2024-04-30 10:08:16.730440,33.29
2024-04-30 10:08:18.730540,33.29
2024-04-30 10:08:20.730630,33.29
2024-04-30 10:08:22.730720,33.29
2024-04-30 10:08:24.730820,33.29
2024-04-30 10:08:26.730910,33.29
2024-04-30 10:08:28.731000,33.29
2024-04-30 10:08:30.731090,33.29
2024-04-30 10:08:32.731190,33.29
2024-04-30 10:08:34.731280,33.29
2024-04-30 10:08:36.731370,33.29
2024-04-30 10:08:38.731460,33.29
2024-04-30 10:08:40.731560,33.29
2024-04-30 10:08:42.731650,33.29
2024-04-30 10:08:44.731740,33.29
2024-04-30 10:08:46.731830,33.29
2024-04-30 10:08:48.731930,33.29
