,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,12.0,0.01708984375,0.1708984375,False
1,sdnn,18.0,0.057373046875,0.34423828125,False
2,rmssd,43.0,0.892578125,1.0,False
3,pnn50,36.0,0.541748046875,1.0,False
4,hr_mad,0.0,0.00736857462637493,0.08842289551649916,False
5,lf,10.0,0.010498046875,0.115478515625,False
6,hf,15.0,0.03271484375,0.29443359375,False
7,lf/hf,44.0,0.946044921875,1.0,False
8,p_total,0.0,0.000244140625,0.00439453125,True
9,lf_nu,43.0,0.892578125,1.0,False
10,hf_nu,43.0,0.892578125,1.0,False
11,mean_eda,16.0,0.039794921875,0.318359375,False
12,mean_tonic,17.0,0.0478515625,0.3349609375,False
13,scr_peak_count,0.0,0.000244140625,0.00439453125,True
14,scr_sum_amp,7.0,0.004638671875,0.060302734375,False
15,scr_mean_amp,0.0,0.000244140625,0.00439453125,True
16,scr_mean_risetime,4.0,0.001708984375,0.02392578125,True
17,scr_mean_recoverytime,0.0,0.000244140625,0.00439453125,True
