,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,0.0,0.0078125,0.140625,False
1,sdnn,4.0,0.0546875,0.3828125,False
2,rmssd,2.0,0.0234375,0.25,False
3,pnn50,5.0,0.078125,0.46875,False
4,hr_mad,2.5,0.04734500208525525,0.378760016682042,False
5,lf,17.0,0.9453125,1.0,False
6,hf,1.0,0.015625,0.25,False
7,lf/hf,1.0,0.015625,0.25,False
8,p_total,9.0,0.25,1.0,False
9,lf_nu,1.0,0.015625,0.25,False
10,hf_nu,1.0,0.015625,0.25,False
11,mean_eda,11.0,0.3828125,1.0,False
12,mean_tonic,11.0,0.3828125,1.0,False
13,scr_peak_count,1.0,0.015625,0.25,False
14,scr_sum_amp,1.0,0.015625,0.25,False
15,scr_mean_amp,0.0,0.0078125,0.140625,False
16,scr_mean_risetime,5.0,0.078125,0.46875,False
17,scr_mean_recoverytime,2.0,0.0234375,0.25,False
