,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,82.0,0.8985748291015625,1.0,False
1,sdnn,67.0,0.44229888916015625,1.0,False
2,rmssd,73.0,0.6094589233398438,1.0,False
3,pnn50,65.0,0.39273834228515625,1.0,False
4,hr_mad,11.0,0.015144080808998163,0.2423052929439706,False
5,lf,82.0,0.8985748291015625,1.0,False
6,hf,78.0,0.7660293579101562,1.0,False
7,lf/hf,72.0,0.5798416137695312,1.0,False
8,p_total,79.0,0.7987060546875,1.0,False
9,lf_nu,64.0,0.3692169189453125,1.0,False
10,hf_nu,64.0,0.3692169189453125,1.0,False
11,mean_eda,79.0,0.7987060546875,1.0,False
12,mean_tonic,82.0,0.8985748291015625,1.0,False
13,scr_peak_count,58.0,0.24620819091796875,1.0,False
14,scr_sum_amp,13.0,0.00067138671875,0.0120849609375,True
15,scr_mean_amp,22.0,0.00400543212890625,0.06809234619140625,False
16,scr_mean_risetime,51.0,0.14151763916015625,1.0,False
17,scr_mean_recoverytime,40.0,0.04827880859375,0.72418212890625,False
