,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,16.0,0.275390625,1.0,False
1,sdnn,21.0,0.556640625,1.0,False
2,rmssd,2.0,0.005859375,0.099609375,False
3,pnn50,0.0,0.001953125,0.03515625,True
4,hr_mad,0.0,0.009747807101173898,0.14621710651760847,False
5,lf,21.0,0.556640625,1.0,False
6,hf,17.0,0.322265625,1.0,False
7,lf/hf,12.0,0.130859375,1.0,False
8,p_total,5.0,0.01953125,0.25390625,False
9,lf_nu,11.0,0.10546875,1.0,False
10,hf_nu,11.0,0.10546875,1.0,False
11,mean_eda,22.0,0.625,1.0,False
12,mean_tonic,23.0,0.6953125,1.0,False
13,scr_peak_count,1.5,0.005859375,0.099609375,False
14,scr_sum_amp,9.0,0.064453125,0.708984375,False
15,scr_mean_amp,5.0,0.01953125,0.25390625,False
16,scr_mean_risetime,16.0,0.275390625,1.0,False
17,scr_mean_recoverytime,4.0,0.013671875,0.19140625,False
