,Subject,Scene,Ch,Band,Power,SPower,APower,IPower
0,001,000,FP1,Theta,109.10755857132234,224.89052099432712,957.2709277478659,5.1942443942958745
1,001,000,FP2,Theta,149.23709446674246,380.07115733884245,1803.081391336424,7.276706058746949
2,001,000,C3,Theta,89.31097596594554,227.41194716541483,1173.6116972184561,4.369858354735159
3,001,000,C4,Theta,92.70047101089374,232.9422770381375,1352.844056339627,4.143854665448597
4,001,000,T5,Theta,155.6362516212439,470.4661273439124,1917.361015581624,9.297310820203826
5,001,000,T6,Theta,111.04872355793717,241.49193031614723,1041.1709009503984,10.81238828509782
6,001,000,O1,Theta,254.84259733964512,1472.5123983744888,7407.716951246259,19.739062474008634
7,001,000,O2,Theta,285.0257565283351,1583.3944108923988,7986.31483906778,14.302946608138516
8,001,000,FP1,Alpha,31.0895162151291,74.91526338064632,354.98099405741107,3.3248845409203915
9,001,000,FP2,Alpha,54.980770562760014,160.78814418249385,852.5668127817286,3.421615191192523
10,001,000,C3,Alpha,28.53851103918317,87.72562736182833,392.1688336154117,2.344385507114353
11,001,000,C4,Alpha,28.314284458426158,91.54781259598849,642.4649728601005,1.68418147667315
12,001,000,T5,Alpha,61.52828475398289,211.6073813165404,1453.0903279849445,6.157483992319513
13,001,000,T6,Alpha,43.38512174642844,80.80547742943305,324.6947734780038,3.3885865818256455
14,001,000,O1,Alpha,61.43047277069501,619.3332194913311,2893.0818955368536,1.9197351670658975
15,001,000,O2,Alpha,59.24891898945366,374.0744252618216,2112.1714904599075,2.283799718054801
16,001,000,FP1,Beta,75.43751179031032,144.50857723550274,777.2755804201254,5.938005497988017
17,001,000,FP2,Beta,114.4538635078221,320.96512826623723,1683.8001102039402,10.25880039250833
18,001,000,C3,Beta,67.08351327752997,200.25459531546042,1383.6166580557547,8.961681844034413
19,001,000,C4,Beta,35.80927548190772,113.52333375778996,533.6955252685372,6.79110824376433
20,001,000,T5,Beta,153.00499303047104,378.3036085213993,2230.861568935541,9.775809297020665
21,001,000,T6,Beta,110.6036934825064,266.1585857686888,1598.7296759415958,8.763978559085071
22,001,000,O1,Beta,123.89193902585636,792.2262571904437,3792.859081222287,7.019203857050406
23,001,000,O2,Beta,93.27148338320055,438.9989664280247,2534.1781727160437,4.437114134788071
24,002,000,FP1,Theta,1.4552957270764237,2.3184168272697097,12.302439979083946,0.30756524313112854
25,002,000,FP2,Theta,1.448323666502076,2.5868443291381906,13.258660070727846,0.36542862802727966
26,002,000,C3,Theta,0.06610072973655823,0.20196783300788632,1.187770379015408,0.009160144109812113
27,002,000,C4,Theta,0.18161274537005867,0.3317387457224852,1.7107860591242137,0.04605999784810688
28,002,000,T5,Theta,2.0277518496480034,2.850472316738015,12.50356064808982,0.5221737733455283
29,002,000,T6,Theta,0.01763003275475922,0.07450508605437878,0.45991062086731244,0.0005969808605480179
30,002,000,O1,Theta,0.5377142507627375,0.7708071774952089,3.329542707048303,0.14556646770128037
31,002,000,O2,Theta,0.16820677825142988,0.21862937057913545,1.012426099335461,0.03543502128644416
32,002,000,FP1,Alpha,1.248121986759735,2.468738410543826,10.564729256717943,0.38246095317623774
33,002,000,FP2,Alpha,1.26066356146425,2.791170734831752,13.695609753146922,0.3167160990604173
