Subject,Scene,Ch,Band,Power,SPower,APower,IPower
1,1,FP1,Theta,109.10755857132234,26.165645182448262,162.84431215896913,0.0002464742824891
1,1,FP2,Theta,149.23709446674246,5.831550184630363,36.29319177933666,5.493184431441575e-05
1,1,C3,Theta,89.31097596594554,0.4544556805349533,2.828346948352387,4.280866647941317e-06
1,1,C4,Theta,92.70047101089374,16.557059729636393,103.04439215037272,0.0001559636457857
1,1,T5,Theta,155.6362516212439,0.2786532478494471,1.7342242532336107,2.624848684133204e-06
1,1,T6,Theta,111.04872355793717,4.790010723785948,29.811074640432143,4.512078521407039e-05
1,1,O1,Theta,254.84259733964512,0.558556347073834,3.476227072064589,5.261470677119204e-06
1,1,O2,Theta,285.0257565283351,2.982853712505159,18.564065884740334,2.8097787134267677e-05
1,1,FP1,Alpha,31.0895162151291,12.031336504531428,92.77933337545932,2.6482169446193183e-05
1,1,FP2,Alpha,54.980770562760014,2.6814298720757344,20.677775568037163,5.902094102479437e-06
1,1,C3,Alpha,28.53851103918317,0.2089651977158139,1.6114295976546074,4.5995320404529436e-07
1,1,C4,Alpha,28.31428445842616,7.613171994952416,58.70877456535023,1.6757349502685764e-05
1,1,T5,Alpha,61.52828475398289,0.1281287340549247,0.988061345252889,2.820240997134922e-07
1,1,T6,Alpha,43.38512174642844,2.2025151864720707,16.98463763134211,4.847955200411957e-06
1,1,O1,Alpha,61.43047277069501,0.2568321675819442,1.9805544702911135,5.65313170233579e-07
1,1,O2,Alpha,59.24891898945366,1.3715586414438496,10.576738202824068,3.0189371176670222e-06
1,1,FP1,Beta,75.43751179031032,20.034699825266607,152.53460856597522,3.758841380897281e-05
1,1,FP2,Beta,114.4538635078221,4.465143383638804,33.995463079279766,8.37734823499331e-06
1,1,C3,Beta,67.08351327752997,0.347970901535906,2.649283778696349,6.528510212216465e-07
1,1,C4,Beta,35.80927548190772,12.677528849728793,96.52063257960268,2.3785143008683624e-05
1,1,T5,Beta,153.00499303047104,0.2133612275589533,1.6244301942481276,4.003009869072461e-07
1,1,T6,Beta,110.6036934825064,3.667649941046725,27.923729978176024,6.881118504354001e-06
1,1,O1,Beta,123.89193902585636,0.4276794503285693,3.256146491663796,8.023974552701258e-07
1,1,O2,Beta,93.27148338320056,2.283932933280224,17.38877143192714,4.285036309991318e-06
1,2,FP1,Theta,109.10755857132234,27.06919996220704,119.14848926424736,1.10163912044181
1,2,FP2,Theta,149.23709446674246,34.06337575906606,201.822880474592,0.9008298267860536
