FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,T5_Theta,T5_Alpha,T5_Beta,T6_Theta,T6_Alpha,T6_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
0.001511376510619395,-0.0001654637563307769,-0.006183821577262046,-0.0007634377220811658,-0.00106700811636076,-0.0011003437939886174,-0.0007945534902962479,-0.0026349153827302865,-0.0023598723094022892,-0.0016672179386403466,-0.0011685585836802646,-0.009181614101799273,-0.003303415618605912,-0.0008947268724957602,-0.001805767798005674,-0.001768718128949316,-0.0042914913688602025,-0.008131706051941433,-0.0018302542727560505,-0.0006750832421621719,-0.001931554954703613,-0.000560679734733374,-0.001341810018422489,-0.000493699146202912,1,1
0.011736737725494698,0.01728996969370554,0.008028686499060016,0.00037823468867312793,0.0005393089312357999,-9.982283761049622e-05,-0.0006191263513592815,-0.0022417753884499832,-0.002133563954262422,0.0030057971257174726,0.0070294995930325795,-0.002612716395575915,-0.0032576767712275433,-0.0008464845578583691,-0.0017608314534642072,-0.00031904670241008856,-0.0009165890520062749,-0.00528185345251493,-0.0018019719180721197,-0.0006164235552403404,-0.0019017157325297508,-0.00042606589706342874,-0.0009168254051479468,-0.0002512484587560163,1,1
0.01351865709735463,0.010385346990712262,0.03736511956254229,0.0005771878740216735,-9.608137212060216e-05,0.0019653802854245235,-0.0005885555958961514,-0.0023972847510637142,-0.0016664345864821676,0.0038201386333820146,0.0037866985036530514,0.01094632799156007,-0.003249706105304141,-0.0008655671536497358,-0.0016680770953538628,-6.642016497141042e-05,-0.002251556025127232,0.0006006065309577292,-0.0017970433023847057,-0.0006396268178364632,-0.0018401237644360697,-0.00040260745877223854,-0.0010849311366748875,0.00024920074593644097,1,1
0.0535663616766335,0.01121524285540582,0.0034542723179145415,0.005048556510434716,-1.971111875552988e-05,-0.0004218488464481263,9.850612130912371e-05,-0.0023785934217173733,-0.0022064031845730526,0.022122037496333954,0.004176464509680463,-0.004726970872022565,-0.0030705695634145147,-0.0008632735355889225,-0.0017752945904851787,0.005611228947569528,-0.0020911006869953077,-0.006199102264266182,-0.001686275246236163,-0.0006368379193689033,-0.0019113197348869346,0.00012460865516279534,-0.0010647257963649695,-0.0003292832332610029,1,1
0.17550483414558876,0.20461738366840235,0.4120463387146843,0.018663116123720333,0.01777790798470368,0.02834189382615373,0.002190492595141858,0.0019773062327181155,0.0042996827203819685,0.07784821741288724,0.09500904145043118,0.1841207309776313,-0.0025251291565079937,-0.0003287599152111267,-0.00048343014447016,0.02289870814946558,0.035302031656714784,0.07573064273721704,-0.0013490052901423963,1.3097761837569484e-05,-0.0010534789243700187,0.0017298923604243334,0.003644004826402482,0.00664087480297354,1,1
0.01323664857219228,0.0012393432468510808,0.006066767214369518,0.000545701323472471,-0.0009377322983609153,-0.00023793648711679114,-0.0005933937573738043,-0.0026032756174516744,-0.0021648039524282594,0.0036912600481997736,-0.0005087818114721159,-0.003519498437127985,-0.003250967551684437,-0.0008908443483724676,-0.0017670345444644885,-0.00010640111942135117,-0.004019880444768999,-0.005675252052067764,-0.0017978233105394347,-0.0006703623316658521,-0.0019058347905530815,-0.00040632001708967294,-0.0013076074096656349,-0.00028471677249308156,1,1
0.09715510927144412,0.008070826810146176,0.0029313692990452396,0.009915286350346454,-0.0003090725438209131,-0.0004586597615747701,0.0008463182640509111,-0.00244941353108817,-0.002214729464597873,0.04204220167112641,0.0026996690038789605,-0.004968652102581996,-0.0028755936567685663,-0.0008719638902936828,-0.0017769478771599563,0.011790899335630219,-0.0026990544812483413,-0.006303953323598897,-0.0015657130094800175,-0.0006474048560934766,-0.0019124175720365648,0.0006984415467019255,-0.0011412823849361773,-0.00033820341791185223,1,1
0.00554217647730842,0.006323191044687763,0.009380376225823363,-0.0003133946362151543,-0.00046989680126933986,-4.667648190120801e-06,-0.0007254007541802542,-0.0024887746570553303,-0.0021120407525108483,0.00017486749677110992,0.0018788804672946972,-0.0019879771519518592,-0.0032853855323708462,-0.000876793904667724,-0.0017565577534987694,-0.0011972629583190128,-0.003036949269753025,-0.005010816387086222,-0.001819105472051401,-0.0006532778564488425,-0.0018988778541025452,-0.0005076154526025799,-0.0011838317900859585,-0.00022819003010225779,1,1
0.0024113414468889976,0.001542418354221596,0.022341633205721138,-0.0006629556836677444,-0.0009098421452426203,0.0009077687184065844,-0.0007791136177484257,-0.0025964496084430995,-0.0019056562965153057,-0.0012559317633947789,-0.0003664406104235268,0.004002603172632844,-0.0032993900044490437,-0.0008900067269676357,-0.0017155775474569392,-0.0016411281665430946,-0.00396128270871263,-0.0024118611782214146,-0.0018277650572656923,-0.0006693438355647231,-0.0018716656390171792,-0.0005488319641467436,-0.0013002284890752387,-7.08439216167919e-06,1,1
0.023853403395731953,0.007097057048827479,0.003338322251444476,0.001731073245213786,-0.00039868263414105784,-0.00043001140795908687,-0.0004112518374600566,-0.0024713452602252543,-0.002208249478603728,0.008543142948218754,0.002242331683850441,-0.004780561984973466,-0.003203477969818031,-0.0008746551386860109,-0.0017756611951765208,0.0013987590198470071,-0.0028873269657420323,-0.006222352249177423,-0.0017684583991977336,-0.000650677248583527,-0.0019115631725529802,-0.00026655359902725905,-0.0011649905997232713,-0.00033126122146503285,1,1
