Subject,Scene,Ch,Band,Power,SPower,APower,IPower
1,1,FP1,Theta,-0.4286418979362766,26.165645182448262,162.84431215896913,0.0002464742824891
1,1,FP2,Theta,-0.38520259849018595,5.831550184630363,36.29319177933666,5.493184431441575e-05
1,1,C3,Theta,-0.3917570011183113,0.4544556805349533,2.828346948352387,4.280866647941317e-06
1,1,C4,Theta,-0.3634283100022663,16.557059729636393,103.04439215037272,0.0001559636457857
1,1,T5,Theta,-0.3305251658699306,0.2786532478494471,1.7342242532336107,2.624848684133204e-06
1,1,T6,Theta,-0.4502094873661036,4.790010723785948,29.811074640432143,4.512078521407039e-05
1,1,O1,Theta,-0.17288226354583974,0.558556347073834,3.476227072064589,5.261470677119204e-06
1,1,O2,Theta,-0.1790942435855812,2.982853712505159,18.564065884740334,2.8097787134267677e-05
1,1,FP1,Alpha,-0.36679872111475154,12.031336504531428,92.77933337545932,2.6482169446193183e-05
1,1,FP2,Alpha,-0.3369405986029179,2.6814298720757344,20.677775568037163,5.902094102479437e-06
1,1,C3,Alpha,-0.3246006883983472,0.2089651977158139,1.6114295976546074,4.5995320404529436e-07
1,1,C4,Alpha,-0.2843270011422814,7.613171994952416,58.70877456535023,1.6757349502685764e-05
1,1,T5,Alpha,-0.29058453437209064,0.1281287340549247,0.988061345252889,2.820240997134922e-07
1,1,T6,Alpha,-0.5287281499335317,2.2025151864720707,16.98463763134211,4.847955200411957e-06
1,1,O1,Alpha,-0.0990636277845226,0.2568321675819442,1.9805544702911135,5.65313170233579e-07
1,1,O2,Alpha,-0.15728769486564845,1.3715586414438496,10.576738202824068,3.0189371176670222e-06
1,1,FP1,Beta,-0.4927484631651763,20.034699825266607,152.53460856597522,3.758841380897281e-05
1,1,FP2,Beta,-0.3536548333352435,4.465143383638804,33.995463079279766,8.37734823499331e-06
1,1,C3,Beta,-0.3346241574359298,0.347970901535906,2.649283778696349,6.528510212216465e-07
1,1,C4,Beta,-0.29185106196082017,12.677528849728793,96.52063257960268,2.3785143008683624e-05
1,1,T5,Beta,-0.40433115038493794,0.2133612275589533,1.6244301942481276,4.003009869072461e-07
1,1,T6,Beta,-0.4126454211789788,3.667649941046725,27.923729978176024,6.881118504354001e-06
1,1,O1,Beta,-0.15627053028058896,0.4276794503285693,3.256146491663796,8.023974552701258e-07
1,1,O2,Beta,-0.21136527920480777,2.283932933280224,17.38877143192714,4.285036309991318e-06
1,2,FP1,Theta,-0.4373657228324331,27.06919996220704,119.14848926424736,1.10163912044181
1,2,FP2,Theta,-0.3582875835561984,34.06337575906606,201.822880474592,0.9008298267860536
1,2,C3,Theta,-0.37131385914785175,11.39517938509385,86.736958532005,0.4147190617693678
1,2,C4,Theta,-0.36701577736698404,6.932050887832765,35.005579867869166,0.7734356888708126
1,2,T5,Theta,-0.2899910989465401,36.95296522017115,206.8332961213748,1.216231076417401
1,2,T6,Theta,-0.43425297533240026,11.93318217075247,96.48565209664244,0.4655739372022495
1,2,O1,Theta,-0.1677439312122165,16.3382895202795,92.44172417244457,0.941506016450922
1,2,O2,Theta,-0.16542461119391202,42.71172189638396,203.3720288715864,3.2341199341581386
1,2,FP1,Alpha,-0.36271282336298694,9.684990371361424,50.72355765044853,0.4467679633938513
1,2,FP2,Alpha,-0.30555541243706114,13.609145168172116,79.16524194470986,0.5041464613861979
1,2,C3,Alpha,-0.2889236261829352,7.127979266216661,41.96283299618603,0.3307890479106219
1,2,C4,Alpha,-0.26678613328203443,5.361985352127776,25.085871360040574,0.3647423880241278
1,2,T5,Alpha,-0.21188067277307737,45.31439220909712,296.39864032436094,0.8000989075747436
1,2,T6,Alpha,-0.49263057153670387,6.466703718095876,29.056304343662795,0.3565120930357741
1,2,O1,Alpha,-0.09253075169358425,12.595840301692634,62.02322882807525,0.720230223864327
1,2,O2,Alpha,-0.1320095313709566,26.434415696967356,149.63611218888428,2.107506755726175
1,2,FP1,Beta,-0.45859981158846114,18.81792436458555,85.69824975839794,2.0884430881983604
1,2,FP2,Beta,-0.30378812902113217,36.784382392653846,189.99519292003723,2.973588749739544
1,2,C3,Beta,-0.30403689538297357,21.021233362168637,102.7737592301813,1.439030566358983
1,2,C4,Beta,-0.23935944041760884,14.066596172958052,77.0378376796232,2.0827023944152634
1,2,T5,Beta,-0.36435759938096074,57.15947712942104,230.24507543646823,1.5902286320486891
1,2,T6,Beta,-0.3837637221833732,22.638885821694014,105.57727937047346,0.8798775387964927
1,2,O1,Beta,-0.14237873845478297,17.311726952037084,123.3773813284556,1.066745778901767
