FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
-0.8272153904108854,-0.8057892076394972,-0.5620044007202623,-0.9044192644823053,-0.7809215703320945,-0.4770346079222377,-0.7841564886174311,-0.858992332493143,-0.5146864209564717,-0.7543507926807582,-0.8444291951341693,-0.8079739289977746,-0.7487059413937253,-0.7486702324167734,-0.49597944592818294,-0.8254803927044247,-0.7554135824269231,-0.47072214944606,-0.7039253787874133,-0.5979109710733279,-0.7039245911310866,-0.6036682587804102,-0.613032112496293,-0.8284009320616342,1,1
-0.7750718680325709,-0.6591424411215137,-0.5468547130058582,-0.8944830829663587,-0.7600567637850536,-0.4755005433991464,-0.7831210115979417,-0.8560923291060807,-0.5144401681856842,-0.7183070131587651,-0.7100453277432185,-0.78163170744791,-0.7484595849034358,-0.7480207890411182,-0.4959237797336315,-0.8169589447286856,-0.7368586448619634,-0.46938136936476005,-0.703628636338356,-0.5971590597287642,-0.7037411455322417,-0.6027036329203135,-0.6086142998636467,-0.8268393183231021,1,1
-0.7484914026243028,-0.7392249388222232,-0.5283153200102835,-0.8894180563431323,-0.7714508494645631,-0.473623235720578,-0.7825931711329667,-0.857675995218132,-0.5141388169644615,-0.6999334858044599,-0.7834311650642695,-0.7493954787614702,-0.7483340032420984,-0.7483754443047327,-0.49585565836526957,-0.8126150867993304,-0.7469913315905162,-0.46774059304537646,-0.703477370139937,-0.5975696718407927,-0.7035166544328598,-0.602211909248096,-0.6110268281341059,-0.8249282973600488,1,1
-0.7008991797827707,-0.7551869673791178,-0.5493685078683017,-0.8803491453196369,-0.7737219165044051,-0.47575509145251227,-0.7816480747756229,-0.8579916512532328,-0.5144810290246491,-0.6670357545270239,-0.7980584165190081,-0.7860026847542297,-0.7481091497521628,-0.7484461341259572,-0.49593301645167565,-0.8048374255962484,-0.7490109768259096,-0.4696038456390947,-0.7032065285834422,-0.597651514970643,-0.7037715847473994,-0.6013314798716655,-0.6115076928205607,-0.8270984376308427,1,1
-0.39136104173964487,0.021136162732941388,-0.09965980350981234,-0.8213652680243961,-0.6632671665471688,-0.4302173759505779,-0.7755012014157128,-0.842639524777918,-0.5071711744201716,-0.453070071113312,-0.08665299622504584,-0.004050835552320889,-0.7466467105877007,-0.7450080909546655,-0.4942806013854206,-0.7542517915705182,-0.6507842818125332,-0.4298036540735921,-0.701444984656794,-0.5936710237369206,-0.6983261205152606,-0.5956051982738059,-0.5881205414181913,-0.7807429414448819,1,1
-0.7950598605321904,-0.758070226252227,-0.5428531446357584,-0.8982918843774838,-0.7741321447013217,-0.47509534269870823,-0.7835179373512291,-0.8580486689474945,-0.5143751241189543,-0.732123548020302,-0.800700571455362,-0.774673795011739,-0.7485540198678483,-0.7484589029951242,-0.4959090763227361,-0.8202254413222442,-0.7493757901091772,-0.4690272219218731,-0.7037423855746091,-0.5976662984882578,-0.7036926910611124,-0.6030733995485946,-0.6115945525432482,-0.8264268409004497,1,1
-0.6556333545849494,-0.7832146207927119,-0.5459310707026951,-0.871723539777086,-0.7777096728002142,-0.4754070149439059,-0.7807491765113188,-0.8585459102509643,-0.5144251547094556,-0.6357461264218598,-0.8237423408839498,-0.7800256815917139,-0.7478952875250411,-0.7485702580618394,-0.4959203858912557,-0.7974399511467195,-0.7525572627177131,-0.4692996250261529,-0.7029489262732195,-0.5977952229504612,-0.7037299612676802,-0.600494087544242,-0.6123520409385178,-0.8267441102543089,1,1
-0.7502737841203218,-0.6937466104078038,-0.5139393932405685,-0.8897576971128278,-0.7649802224812332,-0.4721675225956799,-0.7826285660390818,-0.8567766415564638,-0.5139051414018745,-0.7011655423042249,-0.7417558264262752,-0.724398669910298,-0.7483424242545214,-0.7481740378923998,-0.4958028352872295,-0.8129063688320475,-0.7412370448488143,-0.4664682924787638,-0.7034875134564254,-0.5973364878990087,-0.7033425782046936,-0.6022448823040998,-0.6096567690557402,-0.8234464420788752,1,1
-0.7590245670630547,-0.7840687678256336,-0.54767942220099,-0.8914251979597198,-0.7778312002844388,-0.4755840538412077,-0.7828023409247523,-0.8585628013788587,-0.5144535735395254,-0.7072144487962894,-0.8245250624149388,-0.783065708777965,-0.7483837680701044,-0.748574040757807,-0.4959268100550064,-0.8143364475492557,-0.7526653363237212,-0.4694543579096423,-0.7035373130987043,-0.5977996024731689,-0.7037511318286608,-0.6024067668707275,-0.6123777725768063,-0.8269243284720693,1,1
-0.7385571077631052,-0.7561198240718455,-0.5463812934385847,-0.8875250320043168,-0.7738546427478262,-0.47545260471048284,-0.7823958938190375,-0.8580100988987746,-0.5144324729194594,-0.6930664864658684,-0.7989132658489086,-0.7808085272370505,-0.7482870678241621,-0.7484502653974057,-0.4959220401950857,-0.8109915950792841,-0.7491290094160685,-0.4693394707106192,-0.7034208352751582,-0.597656298066423,-0.7037354129562533,-0.6020281303760929,-0.6115357956296408,-0.8267905187363206,1,1
-0.7996592433561325,-0.6308427564123419,-0.5346935596970551,-0.8991683173554573,-0.7560303030534753,-0.4742690992794664,-0.7836092728613906,-0.8555326905715382,-0.5142424929758237,-0.7353028334402837,-0.6841121198897945,-0.7604859385844958,-0.7485757500417669,-0.7478954603809382,-0.49587909464580526,-0.8209770860072821,-0.7332779393656602,-0.4683050810326537,-0.7037685601033152,-0.5970139569454869,-0.7035938877079593,-0.6031584855460518,-0.6077617566567508,-0.8255857595408069,1,1
-0.7774641711110819,-0.7475631062635028,-0.5441220631722896,-0.8949389470228136,-0.7726371985041665,-0.47522383398818485,-0.7831685184549484,-0.8578408860943221,-0.5143957499372164,-0.719960672918959,-0.7910720780848765,-0.7768801859188165,-0.7484708875420619,-0.7484123709123793,-0.495913738852252,-0.8173499019424667,-0.7480463441213308,-0.46913952395282266,-0.7036422506444486,-0.5976124246599708,-0.703708056230693,-0.6027478891828266,-0.6112780199082574,-0.8265576396771033,1,1
-0.8223885668061176,-0.7416247610104896,-0.5301390326854118,-0.9034994916458142,-0.7717922946044372,-0.4738079057261902,-0.7840606365404731,-0.8577234527423557,-0.5141684607635836,-0.7510142906980191,-0.7856303092688676,-0.7525665436862243,-0.7486831366565637,-0.7483860722146413,-0.49586235943703383,-0.8246915789772338,-0.7472949765458586,-0.4679019955557732,-0.7038979099208638,-0.5975819766025763,-0.7035387375325328,-0.6035789652563266,-0.6110991240669187,-0.8251162837279726,1,1
-0.7852441121237933,-0.7276736361489844,-0.3797483056888487,-0.896421449595708,-0.769807337634294,-0.45857926978091135,-0.7833230141576588,-0.8574475631996651,-0.5117239131318566,-0.7253384929388906,-0.7728458056766285,-0.4910676980155581,-0.748507644532674,-0.748324287929591,-0.49530976194291004,-0.8186213228125995,-0.7455297671456653,-0.45459209141976603,-0.7036865253432862,-0.5975104441078484,-0.7017176757724017,-0.6028918137193473,-0.6106788389347189,-0.8096141671264296,1,1
-0.7871983813764363,-0.7843199742906274,-0.5360874892387528,-0.8967938443465746,-0.7778669417768698,-0.47441024924228503,-0.7833618224469481,-0.8585677690956153,-0.5142651508033907,-0.7266893654318962,-0.824755262487415,-0.7629096981697813,-0.7485168776433694,-0.7485751532567628,-0.49588421651726033,-0.8189406952486663,-0.7526971210018613,-0.4684284468075441,-0.7036976468521084,-0.5978008905001423,-0.7036107666195478,-0.6029279666022508,-0.6123853403065346,-0.8257294443192589,1,1
-0.7395863051912352,-0.7693768602706045,-0.5445347965505132,-0.8877211501796043,-0.775740845234536,-0.47526562756472496,-0.7824163318377358,-0.858272262537235,-0.5144024587710817,-0.6937779106944899,-0.8110617218757986,-0.7775978452062966,-0.748291930354629,-0.7485089758248126,-0.49591525540473574,-0.8111597895536972,-0.7508063970926273,-0.46917605174817134,-0.7034266923126472,-0.5977242717159609,-0.7037130539655082,-0.60204716995012,-0.6119351709679512,-0.8266001837958963,1,1
-0.5927786501909263,-0.5560214331774631,-0.4660726508204918,-0.8597462945986958,-0.7453847738545835,-0.4673205136825685,-0.7795009945896109,-0.8540530664655477,-0.5131270845751118,-0.5922983307271017,-0.6155475069879054,-0.6411681533828617,-0.7475983251476177,-0.7475641048803263,-0.4956269531537932,-0.7871680502644149,-0.7238109390756783,-0.4622319823974337,-0.7025912277889984,-0.5966303207897673,-0.7027629660441294,-0.5993313108363838,-0.6055077240938331,-0.8185123890481404,1,1
-0.8349513831195958,-0.7825034662987549,-0.5542396664303498,-0.9058933925092129,-0.7776084902014159,-0.47624834726591686,-0.7843101115854899,-0.858531846862523,-0.514560207969817,-0.7596982337982355,-0.8230906545666768,-0.7944726374334435,-0.748742490746851,-0.748567108626048,-0.4959509150952199,-0.8267446314133042,-0.7524672816867789,-0.4700349536920112,-0.7039694033817939,-0.5977915766025432,-0.7038305689731031,-0.6038113702980057,-0.6123306170272943,-0.8276005514880033,1,1
-0.774504031242297,-0.7629651355452177,-0.530852781847627,-0.8943748791250709,-0.7748285892114057,-0.47388018030298606,-0.7831097353756932,-0.8581454679009665,-0.5141800625016629,-0.7179145006636466,-0.8051861585360448,-0.753807608117158,-0.7484569021103997,-0.7484805807074273,-0.49586498204553076,-0.8168661471682906,-0.7499951337092695,-0.46796516389810494,-0.7036254048481895,-0.5976913964697229,-0.7035473802283401,-0.6026931282588096,-0.6117420143156671,-0.8251898562344563,1,1
-0.6446465753869848,-0.6621952088869201,-0.5016188701625924,-0.869629959838342,-0.7604911095969024,-0.4709199406180066,-0.7805309987423688,-0.8561526989121784,-0.513704875693254,-0.6281516059712583,-0.7128428168955954,-0.7029757894754743,-0.7478433795556646,-0.7480343086014177,-0.49575756460920856,-0.7956444593370676,-0.7372449057842628,-0.46537789957789494,-0.7028864018479837,-0.5971747123801631,-0.7031933905925967,-0.6002908383034904,-0.6087062661327901,-0.8221764556298354,1,1
