,FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene,Second
0,339.1777815746837,41.06728796958285,20.36192940116269,415.1376076502237,88.51395961280187,58.935514425553414,226.04265534943522,135.74608075180473,140.92621016946504,317.26969307371814,35.89919329308722,16.49853522464511,319.6017374712642,28.380146083884636,16.135552729658272,450.9114038857177,94.79843146088689,44.4362645192585,551.317241702521,56.19656090058836,17.332078651238913,2126.496303465314,148.6345507438441,68.199873016552,001,000,2
1,69.36889701117622,18.578710099267767,45.261059045585796,104.02332483050616,28.167541401179605,55.780469411101556,64.89127473560609,11.677478670052443,11.8448141532428,45.65888574923101,10.903742315593343,15.53172570953644,241.46634687112277,115.02890426602723,178.48461343221322,74.14628812217866,22.491290100686875,77.57977017910973,393.2119512694742,106.00088037851455,111.8785533510781,165.49643489235046,30.530872918619632,53.751121527595046,001,000,4
2,385.5223716173374,97.02007686992349,100.54664887402322,556.4265883812486,136.1451702554344,191.2232452781616,72.14028029939348,36.117551273838224,63.92090800445662,126.27865499057074,48.494328737023615,33.26610868842053,513.2046311035803,125.37195438824143,156.79821521615773,395.6017898372377,117.41689950405285,161.5398064548139,602.5565534931255,164.75371674961158,169.73073374922805,669.0046505830636,198.84181190439958,209.99888025909763,001,000,6
3,756.0647813622928,233.09928103884542,180.66676905507603,1012.7646561242572,356.4538090612379,247.9447148737865,762.9402383597428,139.7719140192159,87.96660097017408,936.3382387170018,200.05223236806825,191.9118149960396,926.9162535580958,461.3856221664233,301.41382817687537,928.0831531696824,141.4235599964531,128.01232220022754,2964.2400829320086,646.0411843060632,424.2200116528348,4040.031379746323,613.7640383845559,620.9870107485477,001,000,8
4,298.2583154697277,72.85679630278706,111.07343615220677,629.9471775089801,238.71434143067862,353.5789026477732,269.8769429277021,136.94568373468098,146.3458938001005,254.2756871384401,71.96751355169178,121.50065517908341,1015.3092119731997,353.3570739823072,490.9434011251395,324.80900615287845,112.0752412382373,173.91489908741485,2467.9879040776395,958.7237605288691,1394.3191414291493,809.6190087861731,256.59690561372554,342.7049187488524,001,000,10
5,22.81870713449304,8.870214083781619,23.466759881136028,20.679075581557623,10.582629766891774,33.58686316648063,14.86561388957613,6.3634779851761865,12.846397365509238,24.02488849258485,13.26869059991589,16.649750998207768,31.415978788932446,22.404648924024542,63.455319882085675,26.18934089740749,10.256303147800267,32.973295596755065,214.89410546427018,69.66138095263737,93.2750351265485,37.2049447675585,18.43700705061464,38.421537510228475,001,000,12
6,77.34698971332733,20.60640923366926,43.81036017826869,290.4567629597504,83.40836384195669,168.0577418231434,48.35452497107524,10.775221526376784,17.70150347570076,59.39173204548929,13.969070741394106,15.572987889827916,172.71092572981414,37.39002107632152,70.0410918715861,93.59573516353532,26.466579213894917,69.6605978126971,2282.3748304164724,774.3032344680287,1034.0354439819287,317.4754405195696,111.22266776251286,156.056372729554,001,000,14
7,214.09780701448068,41.10381034637816,55.98030364757175,225.92106505410896,44.153162724472296,75.32019113613242,133.5513066753412,26.458310098428395,45.93268187112805,104.44422738526065,30.58869399712251,41.708462865388334,431.65798384630597,68.9127888673445,88.82719348866851,173.85261927074203,47.870617023030775,76.8764055358853,1396.952707614883,399.3594260302971,528.1389070273402,1061.410180431893,370.634549743524,405.4717166362924,001,000,16
8,263.571817035645,45.96337373910774,129.96316190577969,323.9521663941772,73.88430534138243,239.54674869278276,283.74052255415666,52.8548891743437,88.40631800913626,253.12217966606354,49.952638778936915,93.97008565600095,938.053162632064,243.02095753778048,616.7537084772575,316.897991828227,78.60649937128566,232.35759012580107,733.1093181833445,107.32216842481765,203.04063640077416,656.309765408564,70.22874448221258,148.74125731614885,001,000,18
9,252.2662320622876,64.23578711652337,122.96451273109388,269.36925264048745,73.5975556606965,157.14146105842048,211.03139401037254,40.1069355799717,30.713522178364165,220.29813840031872,51.10008753062845,76.2246585222683,909.2795848571294,299.8868102707821,512.9333307195329,307.0530530400592,83.46463542620577,178.77897726342314,602.0583463391482,130.84247097869695,214.193248797799,637.5406478818261,113.71928111326963,166.89906660673125,001,000,20
