FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
-0.0030827561647508487,-0.013761707290304535,-0.005590797834876886,-0.004366256723070022,-0.010447882572984471,-0.0035627835883583264,-0.004658889955891493,-0.008644434482242997,-0.007961600074424856,-0.0035196072009388716,-0.010432548410165589,-0.015761204829870566,-0.004394165467952499,-0.0106372850617186,-0.0022050522809613747,-0.0056797831750372615,-0.008995777762017303,-0.004321884914212626,-0.0028871206144247285,-0.005180787208995702,-0.006250963033057101,-0.0019738350766362106,-0.00357616859730171,-0.004839498753648866,1,1
0.005914243851553567,0.017045624751585546,-0.0031237253692658683,-0.0025459496219443966,-0.006678752799919685,-0.0033159237146078153,-0.0044750954265037925,-0.008018373286703911,-0.007921904828983469,0.0032679325861139,0.013427141402881461,-0.011905778258813553,-0.004353565284595383,-0.010520543969862878,-0.0021958718213089005,-0.004180167692548573,-0.005981288455424891,-0.004105967817931091,-0.002837374162182795,-0.005052478615321892,-0.006208342242508101,-0.0017695861666388421,-0.0026604183701912877,-0.004516697228246237,1,1
0.010500517214072377,0.00022201413957039992,-0.00010465152096224024,-0.0016180374340629372,-0.00873704111784234,-0.0030138295526305993,-0.004381405090527343,-0.008360259749274542,-0.007873327870225846,0.006727920678365832,0.0003975765514912938,-0.007187709496347715,-0.004332869103745456,-0.01058429524404434,-0.002184637256439588,-0.003415729932306624,-0.007627474312064798,-0.00384173980360578,-0.0028120156172918285,-0.0051225467995842195,-0.006156185155136674,-0.001665469090552742,-0.003160501441903614,-0.004121669657260736,1,1
0.018712222333926408,-0.0031312648006377886,-0.003533087872720783,4.338583090570877e-05,-0.009147298762800392,-0.0033568852904551725,-0.0042136528981033365,-0.00842840449544828,-0.007928491479872582,0.012923016279067698,-0.002199473892906069,-0.012545511016977932,-0.004295812670163569,-0.010597002136164864,-0.0021973951393299924,-0.0020470070121057548,-0.007955591771037069,-0.0041417950440480675,-0.002766611238517896,-0.005136512777047998,-0.006215414330483431,-0.0014790478593745041,-0.0032601779068076255,-0.0045702598383437765,1,1
0.0721208626788494,0.159957530193207,0.06970036637291174,0.010849224122017146,0.010805835511492223,0.0039709907737415385,-0.00312259855780756,-0.0051141426231755115,-0.006750163732584085,0.05321569946864141,0.12410968053969888,0.10190033900343144,-0.004054798933703812,-0.009978994579680388,-0.0019248791183031375,0.0068551185647287224,0.008002603760642785,0.002267564637026785,-0.002471302761090838,-0.004457268826251981,-0.004950243664404318,-0.00026657074976901276,0.0015876486057797234,0.005011895153253886,1,1
0.0024654555717699127,-0.0037369754860875452,-0.0024720842707007286,-0.0032437215219767524,-0.009221404569018297,-0.0032507192905121413,-0.004545548735127956,-0.008440713641704995,-0.007911419910640859,0.0006660889022499375,-0.0026685852411902824,-0.010887423734889982,-0.004369128409666547,-0.010599297412064494,-0.002193446937201659,-0.004755010005632351,-0.0080148604016893,-0.004048936475811549,-0.0028564432942425784,-0.005139035484503393,-0.0061970845842259795,-0.0018478801808302755,-0.003278182701802785,-0.004431433927891652,1,1
0.026522523814675646,-0.009019272054870155,-0.0029733135233476976,0.0016235955921117548,-0.009867668297421936,-0.0033008732246804233,-0.004054100749339422,-0.008548059545613418,-0.007919484699366595,0.018815283918655765,-0.0067596229675452105,-0.011670721593298012,-0.004260567624968717,-0.010619314110300716,-0.0021953121093823374,-0.0007451898505844703,-0.008531731726320407,-0.00409280383938183,-0.002723426311441827,-0.005161035573416864,-0.0062057437490020215,-0.001301739249693189,-0.003435199358615169,-0.004497016747037149,1,1
0.010192979755586208,0.009776032938896128,0.002236416741948768,-0.0016802595768364145,-0.007568152599356431,-0.0027795778944896626,-0.004387687596068,-0.008166104655819016,-0.007835660034932525,0.0064959074815547305,0.0077969814954153595,-0.0035291964565871345,-0.004334256908255979,-0.010548091311008968,-0.0021759256830947015,-0.0034669901227433754,-0.006692616094989203,-0.0036368505396826346,-0.002813716061602574,-0.005082755534491668,-0.006115741195145565,-0.0016724507722872231,-0.002876507525344839,-0.0038153550204297446,1,1
0.008683093374930284,-0.009198709978259948,-0.003258026312348109,-0.0019857455049929348,-0.00988962166938365,-0.0033293621175392424,-0.004418532194963061,-0.008551706051603967,-0.007924065733850665,0.005356815132540733,-0.006898594209420966,-0.012115657551657527,-0.004341070475421937,-0.01061999407113174,-0.0021963715814117936,-0.0037186572327942455,-0.00854928967974903,-0.004117721777355598,-0.0028220645656139394,-0.005161782909394239,-0.006210662406364429,-0.0017067280477023657,-0.003440533164180504,-0.004534269695165709,1,1
0.012214610297000333,-0.0033272379309204816,-0.0030466306857898735,-0.0012712356328861809,-0.009171275138263903,-0.0033082094767429,-0.004346388870572648,-0.00843238702701161,-0.007920664373980464,0.008021071170530901,-0.002351251336466173,-0.011785298258609009,-0.004325134026127147,-0.010597744755395001,-0.002195584936897953,-0.0031300257508101036,-0.00797476769009461,-0.00409922052516745,-0.0028025380081406486,-0.005137328980045044,-0.006207010365798927,-0.001626555936925058,-0.0032660032226227973,-0.004506609854740632,1,1
