,Timestamp,Engagement,Emotion,Valence,Arousal,Dominance
0,1700229043.8651483,1.2892754837461942,Admiración,1,1,1
1,1700229054.2042444,1.0419386953882537,Admiración,1,1,1
2,1700229064.5267692,1.1789986436032533,Admiración,1,1,1
3,1700229074.8726904,1.779702773840774,Deseo,2,1,1
4,1700229085.201458,1.3686869467156777,Deseo,2,1,1
5,1700229095.5286698,1.1841131824909574,Deseo,2,1,1
6,1700229105.8654747,0.889226938604363,Deseo,2,1,1
7,1700229116.1906374,0.4713500635542345,Admiración,1,1,1
8,1700229126.539755,0.921112423266631,Deseo,2,1,1
9,1700229136.8642778,0.8943876398163673,Admiración,1,1,1
10,1700229147.2125897,0.5592328490406662,Admiración,1,1,1
